run_id,scenario,evolve,stress,time,mean_n,mean_w,mean_q,var_n,var_w,var_q,min_z,spatial_covariance_bonus,cov_w_q,cov_w_bq,cov_w_prey_gain,persistent_window_label
SPTS_003,below_ode_no_evo_threshold,False,0.034724121093750004,465.0,5.307494325142628,0.3685460308944243,0.6726147415697105,5.5855059910500266e-11,2.4385438628437742e-11,1.0171530379113635e-10,0.9906148613109623,7.44576493366225e-12,-3.595863913968672e-11,2.1575183483813236e-12,1.245422287646487e-11,below_ode_no_evo_threshold
SPTS_003,below_ode_no_evo_threshold,False,0.034724121093750004,470.0,5.307494325421725,0.3685460307352717,0.6726147415697105,5.58550599948781e-11,2.438543865700012e-11,1.0171530379113635e-10,0.9906148611909987,7.445723878986524e-12,-3.5958639134439436e-11,2.1575183480664865e-12,1.245422287663707e-11,below_ode_no_evo_threshold
SPTS_003,below_ode_no_evo_threshold,False,0.034724121093750004,475.0,5.307494325649397,0.3685460306054446,0.6726147415697105,5.585506006477877e-11,2.4385438680492257e-11,1.0171530379113635e-10,0.9906148610931396,7.445751658971413e-12,-3.595863913020414e-11,2.1575183478123687e-12,1.2454222876838149e-11,below_ode_no_evo_threshold
SPTS_003,below_ode_no_evo_threshold,False,0.034724121093750004,480.0,5.307494325835119,0.3685460304995395,0.6726147415697105,5.585506012182188e-11,2.4385438699839197e-11,1.0171530379113635e-10,0.9906148610133125,7.44580696942588e-12,-3.5958639126771704e-11,2.157518347606422e-12,1.2454222876989966e-11,below_ode_no_evo_threshold
SPTS_003,below_ode_no_evo_threshold,False,0.034724121093750004,485.0,5.307494325986618,0.3685460304131485,0.6726147415697105,5.58550601686436e-11,2.4385438715741935e-11,1.0171530379113635e-10,0.9906148609481937,7.445773908804333e-12,-3.595863912402355e-11,2.1575183474415337e-12,1.2454222877140177e-11,below_ode_no_evo_threshold
SPTS_003,below_ode_no_evo_threshold,False,0.034724121093750004,490.0,5.307494326110202,0.36854603034267586,0.6726147415697105,5.585506020758173e-11,2.4385438728841645e-11,1.0171530379113635e-10,0.990614860895074,7.44574850692028e-12,-3.595863912178939e-11,2.1575183473074832e-12,1.2454222877294045e-11,below_ode_no_evo_threshold
SPTS_003,below_ode_no_evo_threshold,False,0.034724121093750004,495.0,5.307494326211016,0.36854603028518856,0.6726147415697105,5.585506023885911e-11,2.4385438739574162e-11,1.0171530379113635e-10,0.9906148608517424,7.445792909307613e-12,-3.595863912000684e-11,2.157518347200531e-12,1.2454222877407437e-11,below_ode_no_evo_threshold
SPTS_003,below_ode_no_evo_threshold,False,0.034724121093750004,500.0,5.307494326293253,0.36854603023829385,0.6726147415697105,5.585506026512929e-11,2.4385438748392508e-11,1.0171530379113635e-10,0.9906148608163947,7.44578738100274e-12,-3.5958639118527066e-11,2.157518347111744e-12,1.2454222877523917e-11,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,0.0,4.833333333280862,0.6416666666967904,0.6726147415697105,2.2821823298549397e-09,4.137942734269306e-11,1.0171530379113635e-10,1.1914941044143204,-7.504175753014763e-11,4.513326038373479e-13,-2.7079956230350024e-14,-8.639330169439471e-12,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,5.0,4.970424664187346,0.5593650386402705,0.6715201013010597,2.467568852516109e-11,9.514995142782033e-12,2.1875870014020324e-11,1.1368692285181792,3.3101629076659478e-12,-1.3246918160732732e-11,7.948150896437752e-13,4.943416915629622e-12,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,10.0,5.05913997383305,0.5096691320070249,0.6690794937836902,2.3989608779349526e-11,8.947085259938466e-12,9.26692056164325e-12,1.0978501343649758,1.8429927722829476e-12,-8.81775784704128e-12,5.290654708223783e-13,3.4470031029071468e-12,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,15.0,5.115697123496972,0.4780323224434095,0.6657942108789472,2.321484942438841e-11,8.488465229622296e-12,5.471271490834e-12,1.0729292876995777,1.1541202021847496e-12,-6.672314476643162e-12,4.0033886859863785e-13,2.7309331257035605e-12,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,20.0,5.152201373024245,0.45773523143270944,0.6619572565737741,2.217099726526534e-11,8.00054405938915e-12,3.748896768392176e-12,1.056721827729739,7.769887164221778e-13,-5.386124846921084e-12,3.2316749081527395e-13,2.2961002897299223e-12,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,25.0,5.175107189119879,0.44515528575733143,0.6577621219600069,2.103369308269443e-11,7.508228486695983e-12,2.7634018665878656e-12,1.046395873332571,5.390791979476006e-13,-4.489733985722619e-12,2.693840391433041e-13,1.9868079832225393e-12,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,30.0,5.188218238688684,0.438139270757334,0.653346166011581,1.988627124662431e-11,7.028711348979842e-12,2.1205259690370777e-12,1.0403009059760935,3.751070634661069e-13,-3.810135132198547e-12,2.286081079320055e-13,1.7467698259797576e-12,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,35.0,5.193959305403267,0.43530494034229905,0.6488121808387537,1.8746506993108092e-11,6.563939327514217e-12,1.6665726210626422e-12,1.0373943250618307,2.5540347289333687e-13,-3.2668409323600535e-12,1.9601045594155205e-13,1.5495761252038497e-12,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,40.0,5.193984044768937,0.4357044249186155,0.6442400133397768,1.7605801312500674e-11,6.109293191358e-12,1.3292141229919966e-12,1.0369702555182467,1.6513293553746533e-13,-2.816262806671288e-12,1.6897576840019043e-13,1.3806281291526972e-12,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,45.0,5.189491786496964,0.4386476492402127,0.6396931953523344,1.6449705822888944e-11,5.659117003072035e-12,1.0697528147470317e-12,1.0385194709196748,9.558694981370852e-14,-2.432651278762645e-12,1.4595907672562986e-13,1.23117675640319e-12,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,50.0,5.181403358562347,0.4436038460289272,0.6352228877493589,1.526721866679857e-11,5.2093096073896175e-12,8.654870164328955e-13,1.0416519307539513,4.2269573258257864e-14,-2.1000373434259923e-12,1.2600224060561848e-13,1.0958494193253908e-12,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,55.0,5.170462717707854,0.45014439727919203,0.6308703110457059,1.4054617073672265e-11,4.758341039357762e-12,7.021250984437088e-13,1.046052291207886,1.64625257870199e-15,-1.8082423443693587e-12,1.0849454066221667e-13,9.714191360683487e-13,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,60.0,5.157296708575997,0.4579090888811408,0.6266683048371862,1.2816493934355421e-11,4.307435144448709e-12,5.701359084003274e-13,1.051453916972336,-2.8165837717697428e-14,-1.5506563180393754e-12,9.303937908229868e-14,8.560911740751752e-13,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,65.0,5.142449815011519,0.46658637675094927,0.6226423901232725,1.1565130598518011e-11,3.860256712604068e-12,4.62840557761958e-13,1.057623863088946,-4.8867160318266656e-14,-1.3228869672790329e-12,7.93732180367811e-14,7.490293504991315e-13,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,70.0,5.126403407175862,0.47590233958186456,0.6188115619706442,1.0318757851670632e-11,3.422277782810762e-12,3.753507782330325e-13,1.064354674793566,-6.215167269729704e-14,-1.1218862189559217e-12,6.731317313736915e-14,6.500051033512453e-13,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,75.0,5.109585309578649,0.4856150441403829,0.6151889529042464,9.099112700556474e-12,2.9999552627682187e-12,3.039506295055813e-13,1.0714604541940083,-6.900946827870236e-14,-9.45368382797397e-13,5.6722102968001956e-14,5.591212496883991e-13,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,80.0,5.092373568916884,0.4955121427944962,0.6117824510523343,7.928707657172786e-12,2.599852284317376e-12,2.457242116644328e-13,1.0787754951120896,-7.111021840811027e-14,-7.914257235137902e-13,4.748554341088214e-14,4.76594408538917e-13,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,85.0,5.0750971658013375,0.5054101665065165,0.6085953179407284,6.828242079232453e-12,2.227835181676191e-12,1.983257614599962e-13,1.086154278697995,-6.932605531306812e-14,-6.582885277771994e-13,3.9497311666551234e-14,4.025937005713397e-13,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,90.0,5.0580356423358435,0.5151544168838411,0.6056268228300588,5.814532553261828e-12,1.8884569697510152e-12,1.5983438331899267e-13,1.0934719541832663,-6.497666987792527e-14,-5.441942928397618e-13,3.265165757032775e-14,3.3713621090159267e-13,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,95.0,5.04141900016417,0.5246187121886094,0.6028728910080596,4.8992112954132924e-12,1.5845951543050958e-12,1.2865968524622063e-13,1.1006246951906904,-5.890795663765491e-14,-4.4733744509609183e-13,2.6840246705799695e-14,2.800365845411949e-13,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,100.0,5.025428684899885,0.5337045460017604,0.6003267512839976,4.088269761318338e-12,1.317357385725861e-12,1.0347801509231832e-13,1.1075295569385746,-5.205167893929108e-14,-3.65873959770045e-13,2.1952437586218635e-14,2.309028762040649e-13,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,105.0,5.010200006313221,0.5423394771284187,0.5979795621670587,3.3823588120544246e-12,1.0862183448244659e-12,8.31869560246785e-14,1.1141236663466962,-4.5084162098030234e-14,-2.979579983326823e-13,1.7877479899931336e-14,1.8916637258301164e-13,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,110.0,4.995825970557043,0.5504747742197716,0.5958209957080358,2.7776400647037932e-12,8.893179874054931e-13,6.687067534384416e-14,1.1203627452760103,-3.829445441305701e-14,-2.4179158340247383e-13,1.4507495004209087e-14,1.5413123330939955e-13,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,115.0,4.9823622420289,0.5580824780454203,0.5938397613012019,2.26693586195149e-12,7.238400926088685e-13,5.377183743294553e-14,1.126219086379041,-3.2096504273826376e-14,-1.9567332759110426e-13,1.1740399655493774e-14,1.250307513241742e-13,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,120.0,4.969832813674888,0.5651521166647404,0.5920240572944007,1.8409424336223096e-12,5.863983620167184e-13,4.3267736008317136e-14,1.1316791675275968,-2.6464290828198678e-14,-1.5803754771997055e-13,9.482252863189099e-15,1.0108006053548334e-13,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,125.0,4.958235932300262,0.5716873224312473,0.5903619445590629,1.4893298980120988e-12,4.733775894086875e-13,3.4849461158294186e-14,1.136741109345913,-2.1717220036188145e-14,-1.274798548876593e-13,7.64879129324104e-15,8.151901964991336e-14,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,130.0,4.947549872529971,0.5777025706153335,0.5888416420630986,1.2016267105998445e-12,3.8120118565720094e-13,2.8103555085029337e-14,1.141412162448074,-1.7667291241085792e-14,-1.0276891867815022e-13,6.166135120701074e-15,6.564268428534993e-14,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,135.0,4.937738246852417,0.5832202057654492,0.5874517492258942,9.678533648982085e-13,3.0651712651699123e-13,2.2695916568442014e-14,1.1457063708495472,-1.4310167634201676e-14,-8.28463630671634e-14,4.970781784017149e-15,5.2819570127093467e-14,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,140.0,4.928754649630665,0.5882678602860318,0.5861814030907333,7.789187906572073e-13,2.463089041204974e-13,1.8357825761176265e-14,1.1496425068158116,-1.1466955857075689e-14,-6.68177972891443e-14,4.009067837371335e-15,4.249959535728556e-14,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,145.0,4.9205465375636415,0.5928763122488535,0.5850203801333436,6.268204117695157e-13,1.9794584828970854e-13,1.4873973313564074e-14,1.1532423393550886,-9.249870834560081e-15,-5.393813414594836e-14,3.2362880487670423e-15,3.421429401027217e-14,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,150.0,4.9130583344399135,0.5970777832131465,0.583959153057146,5.046986383393162e-13,1.591895263097946e-13,1.2072351042448757e-14,1.1565292258856399,-7.422014391966769e-15,-4.3593956047330545e-14,2.615637362844776e-15,2.75718983541622e-14,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,155.0,4.906233808909013,0.6009046443780687,0.5829889125264246,4.0679448242094594e-13,1.2817174212683727e-13,9.815829290997285e-15,1.1595270281666603,-5.969183480836193e-15,-3.5285056567159715e-14,2.117103394041353e-15,2.2249501229071697e-14,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,160.0,4.900017811016928,0.6043884801447643,0.5821015627892447,3.2835066443139513e-13,1.0335671438135126e-13,7.995224276408492e-15,1.1622593133401065,-4.86318884468373e-15,-2.860662063679699e-14,1.716397238195394e-15,1.7983971421026227e-14,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,165.0,4.894357470376125,0.6075594497850465,0.5812896988305102,2.6548625794871977e-13,8.34966084999027e-14,6.523651248717541e-15,1.1647487940428625,-3.854555563620465e-15,-2.3232926357821203e-14,1.3939755814748536e-15,1.4562762951119488e-14,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,170.0,4.8892029613042745,0.6104458874352241,0.5805465712921811,2.1506519358725415e-13,6.75864895905134e-14,5.331964987363225e-15,1.1670169632434935,-3.0741468398653993e-15,-1.8903003469870167e-14,1.134180208201532e-15,1.1815313155110068e-14,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,175.0,4.88450793319619,0.6130740852102898,0.579866044051716,1.7457101185757426e-13,5.4822283554893456e-14,4.365104109213969e-15,1.1690838807395942,-2.4711135915289617e-15,-1.540837023172921e-14,9.245022138958116e-16,9.605389899199924e-15,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,180.0,4.880229692066562,0.615468211521812,0.579242548148883,1.4199442350504668e-13,4.4563543983201435e-14,3.5791761077891706e-15,1.1709680732908785,-2.007291902139663e-15,-1.2582772750141124e-14,7.549663650155135e-16,7.824519980260762e-15,below_ode_no_evo_threshold
SPTS_004,below_ode_no_evo_threshold,True,0.034724121093750004,185.0,4.876329204789883,0.6176503249636389,0.5786710347355819,1.1573630490953666e-13,3.6301638780730913e-14,2.939142504071025e-15,1.1726865164943556,-1.5325739809168848e-15,-1.0293740886120435e-14,6.176244531585343e-16,6.386488804006045e-15,below_ode_no_evo_threshold
