row_type,axis,mu,D_w_over_D_u,stress,epsilon,T,dt,n_x,n_y,seed,s_c_ode,s_c_pde,delta_s_c,ode_persistent,pde_persistent,classification,baseline_turing_unstable,baseline_growth,final_mean_w_ode,final_mean_w_pde,var_u,var_v,var_w,dominant_wavelength,pattern_measurable,robustness_passed,status
phase_point,stress_ratio,0.85,100.0,0.85,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.20869132522452352,1.871791914317848e-07,1.7182621470891623e-07,6.808155048120969e-15,6.782385016276828e-15,5.161155307637413e-28,10.0,False,,ok
phase_point,stress_ratio,0.85,140.0,0.0,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.24052342203340227,0.992480219943484,0.9924876245582742,1.3435034167500693e-05,7.93457523273628e-05,4.384089378476598e-07,1.9156525704423029,True,,ok
phase_point,stress_ratio,0.85,140.0,0.25,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.24052342203340227,0.425793485749037,0.4256626822402918,8.554110586607358e-16,6.936463397576803e-16,7.78593645076284e-18,20.0,False,,ok
phase_point,stress_ratio,0.85,140.0,0.5,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.24052342203340227,0.009705371914768439,0.009639745094667142,4.470984597715518e-15,4.423243780789053e-15,1.6498224822755975e-19,10.0,False,,ok
phase_point,stress_ratio,0.85,140.0,0.65,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.24052342203340227,0.00012542284730004272,0.00012198284123154764,5.9088329854066125e-15,5.8858200805926174e-15,7.785652330314266e-23,10.0,False,,ok
phase_point,stress_ratio,0.85,140.0,0.75,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.24052342203340227,5.092371298016749e-06,4.8335397668141605e-06,6.433863016073309e-15,6.409562811712942e-15,1.690024924253201e-25,10.0,False,,ok
phase_point,stress_ratio,0.85,140.0,0.85,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.24052342203340227,1.871791914317848e-07,1.718262146327329e-07,6.790972964046113e-15,6.765268662752611e-15,2.621823889395434e-28,10.0,False,,ok
phase_point,stress_ratio,0.85,200.0,0.0,0.0001,35.0,0.016163265306122446,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.26928801451431794,0.992480219943484,0.9924918200233304,8.057856663855983e-05,0.000482105508169333,1.800254374332059e-06,2.030692330267238,True,,ok
phase_point,stress_ratio,0.85,200.0,0.25,0.0001,35.0,0.016163265306122446,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.26928801451431794,0.425793485749037,0.42568624128680443,7.939290057537015e-16,6.821787025946093e-16,4.1609357674266244e-18,20.0,False,,ok
phase_point,stress_ratio,0.85,200.0,0.5,0.0001,35.0,0.016163265306122446,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.26928801451431794,0.009705371914768439,0.009653093923032166,4.4073883290488344e-15,4.371580198207506e-15,6.705776852706611e-20,10.0,False,,ok
phase_point,stress_ratio,0.85,200.0,0.65,0.0001,35.0,0.016163265306122446,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.26928801451431794,0.00012542284730004272,0.00012289205467446728,5.851033405065564e-15,5.828567568365396e-15,3.073506432023879e-23,10.0,False,,ok
phase_point,stress_ratio,0.85,200.0,0.75,0.0001,35.0,0.016163265306122446,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.26928801451431794,5.092371298016749e-06,4.907072211996453e-06,6.37739267426312e-15,6.3533679571354746e-15,6.672040137830553e-26,10.0,False,,ok
phase_point,stress_ratio,0.85,200.0,0.85,0.0001,35.0,0.016163265306122446,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.26928801451431794,1.871791914317848e-07,1.763256056757967e-07,6.735643986841491e-15,6.710204321622011e-15,1.0463967788968366e-28,10.0,False,,ok
