stress,treatment,evolve_q,initial_n,initial_w,initial_q,frozen_q_value,solver,rtol,atol,T,n_eval,classification,persistent_predator,min_w,threshold_crossed,threshold_safe_persistent,finite_time_status,tail_mean_w,tail_min_w,tail_slope_w,tail_slope_floor_w,tail_mean_q,q_change_from_initial,final_n,final_w,final_q,min_z,physical,solver_success,notes
0.0668249027777778,frozen_q,False,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,persistent,True,0.03569253538656888,False,True,persistent_above_threshold,0.03570870527535976,0.03569253538656888,-5.99449620993275e-08,-1.1902901758453254e-05,0.6726147415802589,-1.1102230246251565e-16,5.885356707102251,0.03569253538656888,0.672614741580259,0.7456174241778468,True,True,q frozen at q_star_s0
0.0668249027777778,evolving_q,True,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,persistent,True,0.2395617158053568,False,True,persistent_above_threshold,0.641666666609261,0.6416666665290941,-2.571152390905344e-13,-0.00021388888886975365,0.47924632265476197,-0.19336841892549705,4.833333333408785,0.6416666666255955,0.4792463226513457,0.8805495525162114,True,True,q evolves under selection
0.06973033333333335,frozen_q,False,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,declining_transient,False,0.0035126826106189435,False,False,transient_or_unresolved,0.004143763946103299,0.0035126826106189435,-1.8440165521557312e-06,-1.3812546487010996e-06,0.6726147415802589,-1.1102230246251565e-16,5.9412231814803,0.0035126826106189435,0.672614741580259,0.7219308025757479,True,True,q frozen at q_star_s0
0.06973033333333335,evolving_q,True,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,persistent,True,0.22229962393601727,False,True,persistent_above_threshold,0.6416666665668856,0.6416666664626248,2.1781444351845811e-13,-0.00021388888885562855,0.47083900010002905,-0.20177574148022998,4.833333333204513,0.6416666667366328,0.47083900006662327,0.8658137537227439,True,True,q evolves under selection
0.07263576388888891,frozen_q,False,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,extinct,False,4.021890064677138e-06,True,False,extinct_or_boundary_crossing,1.5474664543079163e-05,4.021890064677138e-06,-4.335384062971313e-08,-1.3333333333333334e-07,0.6726147415802589,-1.1102230246251565e-16,5.9473150482468755,4.021890064677138e-06,0.672614741580259,0.7193475965297268,True,True,q frozen at q_star_s0
0.07263576388888891,evolving_q,True,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,persistent,True,0.2052922939472861,False,True,persistent_above_threshold,0.6416666667053508,0.6416666666266803,-4.1325458230995567e-13,-0.00021388888890178358,0.46243167751059666,-0.21018306406966236,4.833333333356548,0.6416666666540851,0.4624316775202502,0.8510183539738881,True,True,q evolves under selection
0.07554119444444447,frozen_q,False,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,extinct,False,1.232381770894842e-09,True,False,extinct_or_boundary_crossing,2.3200838668539873e-08,1.232381770894842e-09,-1.0636583862895109e-10,-1.3333333333333334e-07,0.6726147415802589,-1.1102230246251565e-16,5.947322033393605,1.232381770894842e-09,0.672614741580259,0.7193446320406802,True,True,q frozen at q_star_s0
0.07554119444444447,evolving_q,True,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,persistent,True,0.1885499694133547,False,True,persistent_above_threshold,0.641666666537897,0.641666666401988,3.954280010856227e-13,-0.00021388888884596566,0.4540243549779926,-0.21859038660226643,4.83333333333797,0.641666666664159,0.45402435495583654,0.8361810265618812,True,True,q evolves under selection
0.07844662500000002,frozen_q,False,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,extinct,False,-4.538266625171297e-13,True,False,extinct_or_boundary_crossing,4.68870608605883e-11,-4.538266625171297e-13,-2.0001206170657708e-13,-1.3333333333333334e-07,0.6726147415802589,-1.1102230246251565e-16,5.947322035556725,-1.1619732738110394e-14,0.672614741580259,0.7193446308516457,True,True,q frozen at q_star_s0
0.07844662500000002,evolving_q,True,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,persistent,True,0.17206734743476187,False,True,persistent_above_threshold,0.6416666666667727,0.6416666666666767,-2.5606282915103405e-16,-0.00021388888888892424,0.44561703239287603,-0.226997709187383,4.833333333333315,0.6416666666666767,0.44561703239289263,0.8213355159814942,True,True,q evolves under selection
