shape_label,stress,baseline_state,perturbation_type,seed,T,time,mean_n,mean_w,mean_q
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1840.0,4.833333333333452,0.641666666666605,0.2141507917370105
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1880.0,4.833333333333442,0.6416666666666102,0.2141507917370043
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1920.0,4.833333333333426,0.6416666666666186,0.21415079173700302
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1960.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2000.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2040.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2080.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2120.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2160.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2200.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2240.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2280.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2320.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2360.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2400.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2440.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2480.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2520.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2560.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2600.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2640.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2680.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2720.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2760.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2800.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2840.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2880.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2920.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,2960.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,3000.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,3040.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,3080.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,3120.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,3160.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,3200.0,4.833333333333424,0.6416666666666203,0.21415079173700297
linear_reference,0.1584375,compensation_branch_state,random_heterogeneity,20260702,3200.0,0.0,4.833333333333334,0.6416666666666666,0.214150791737
linear_reference,0.1584375,compensation_branch_state,random_heterogeneity,20260702,3200.0,40.0,4.832511701978194,0.6419394020614053,0.21403715798393894
linear_reference,0.1584375,compensation_branch_state,random_heterogeneity,20260702,3200.0,80.0,4.837061284170573,0.6397050000689561,0.2137386224959687
linear_reference,0.1584375,compensation_branch_state,random_heterogeneity,20260702,3200.0,120.0,4.832750782626915,0.6419804927501395,0.21360921957491452
linear_reference,0.1584375,compensation_branch_state,random_heterogeneity,20260702,3200.0,160.0,4.829418281711833,0.6436977726424721,0.21376026659730818
linear_reference,0.1584375,compensation_branch_state,random_heterogeneity,20260702,3200.0,200.0,4.829922971406971,0.6434284426107166,0.21397948147132306
