shape_label,gamma_r,gamma_a,gamma_b,stress,q0,w0_scale,classification,basin_label,tail_mean_w,tail_mean_q,q_change,physical,notes
linear_reference,1.0,1.0,1.0,0.16486816,0.5,0.02,recovery_transient,transient_basin,0.0017031514342558567,1.9520905430132806e-06,-0.499998047909457,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.5,0.05,recovery_transient,transient_basin,0.004849810705455336,1.9731279673183304e-06,-0.4999980268720327,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.5,0.1,recovery_transient,transient_basin,0.013106598311868759,2.0091946610376428e-06,-0.49999799080533897,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.5,0.2,recovery_transient,transient_basin,0.18210417029482895,2.1063035150624134e-06,-0.49999789369648495,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.5,0.5,recovery_transient,transient_basin,0.5948812746025265,3.4377578697348793e-06,-0.49999656224213024,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.5,1.0,recovery_transient,transient_basin,0.6900318304125483,4.891721757026604e-06,-0.49999510827824295,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.5,1.5,recovery_transient,transient_basin,0.6422648955187716,4.324699536956957e-06,-0.499995675300463,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.6,0.02,recovery_transient,transient_basin,0.00011059590583834081,2.696907444117625e-06,-0.5999973030925558,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.6,0.05,recovery_transient,transient_basin,0.00026725117248072673,2.7086265582999324e-06,-0.5999972913734417,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.6,0.1,recovery_transient,transient_basin,0.0005045262671294688,2.7279141474182068e-06,-0.5999972720858525,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.6,0.2,recovery_transient,transient_basin,0.0008963732709370785,2.764474277427739e-06,-0.5999972355257226,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.6,0.5,recovery_transient,transient_basin,0.0015593834325830962,2.8604027114917996e-06,-0.5999971395972885,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.6,1.0,recovery_transient,transient_basin,0.0017788481701725564,2.9822074437522627e-06,-0.5999970177925562,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.6,1.5,recovery_transient,transient_basin,0.0016681710225125595,3.0700573906047606e-06,-0.5999969299426093,True,ode_solve_success
