case_label,followup_case_id,run_role,stress,baseline_state,perturbation_type,seed,T,time,mean_n,mean_w,mean_q
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,190.0,3.4978927388525993,1.3093869639070337,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,195.0,3.4978927388525993,1.3093869639070337,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,200.0,3.4978927388525993,1.3093869639070337,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,205.0,3.4978927388525993,1.3093869639070337,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,210.0,3.4978927388525993,1.3093869639070337,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,215.0,3.4978927388525993,1.3093869639070337,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,220.0,3.4978927388525993,1.3093869639070337,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,225.0,3.4978927388525993,1.3093869639070337,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,230.0,3.4978927388525993,1.3093869639070337,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,235.0,3.4978927388525993,1.3093869639070337,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,240.0,3.4978927388525993,1.3093869639070337,0.0
