run_id,stress,T,n_x,n_y,seed,tail_fraction,physical,persistent_predator,persistent_without_slope_check,tail_mean_w,tail_min_w,tail_slope_w,tail_slope_floor_w,tail_mean_q,tail_q_change,tail_mean_var_q,tail_mean_min_z,min_n,min_w,min_q,max_q,min_z,q_clip_count,q_clip_max_violation,classification_note
PDE_EVO_s0p105_T800_tail0p35,0.105,800.0,64,64,20260702,0.35,True,True,True,0.6416665701635184,0.6415999593577297,-2.626790901113361e-07,-0.0005729165805031414,0.368787796000853,-0.3038269455805338,4.469273637026462e-20,1.1916672513466713,4.272096472660928,0.04868144847040675,0.26456563712477144,0.6726482997526597,0.6884697213369169,0,0.0,persistent
PDE_EVO_s0p105_T800_tail0p50,0.105,800.0,64,64,20260702,0.5,True,True,True,0.643584346560209,0.6415999593577297,-2.421138341669004e-05,-0.0004022402166001306,0.36855417279209063,-0.30406056878929616,9.459194119263138e-17,1.1933656621190656,4.272096472660928,0.04868144847040675,0.26456563712477144,0.6726482997526597,0.6884697213369169,0,0.0,persistent
PDE_EVO_s0p11765625_T500_tail0p25,0.11765625,500.0,64,64,20260702,0.25,True,False,True,0.74175157684372,0.6673144912279945,-0.0014974554050383399,-0.00148350315368744,0.3133890998571608,-0.359225641724226,5.928441318114164e-14,1.2821648697460875,3.891849274607431,0.017530511125031026,0.16215965999445203,0.6726482997526597,0.6341262310524597,0,0.0,slope_check_rejects
PDE_EVO_s0p11765625_T500_tail0p35,0.11765625,500.0,64,64,20260702,0.35,True,False,True,0.7941090486714031,0.6673144912279945,-0.0018848555266474717,-0.0011344414981020044,0.29905805116401096,-0.3735566904173758,1.3350190704906917e-13,1.3306957877676646,3.891849274607431,0.017530511125031026,0.16215965999445203,0.6726482997526597,0.6341262310524597,0,0.0,slope_check_rejects
PDE_EVO_s0p11765625_T500_tail0p50,0.11765625,500.0,64,64,20260702,0.5,True,False,True,0.8646699072939825,0.6673144912279945,-0.001782366365368538,-0.0008646699072939825,0.2687121594687298,-0.403902582112657,2.4153008185080306e-13,1.3970993437198262,3.891849274607431,0.017530511125031026,0.16215965999445203,0.6726482997526597,0.6341262310524597,0,0.0,slope_check_rejects
PDE_EVO_s0p11765625_T800_tail0p25,0.11765625,800.0,64,64,20260702,0.25,True,True,True,0.6415657294999502,0.6413497187946177,-1.6251580014374735e-07,-0.0008019571618749377,0.3321982102481491,-0.3404165313332377,2.4326417284651165e-19,1.1915787718100637,3.891849274607431,0.017530511125031026,0.16215965999445203,0.6726482997526597,0.6341262310524597,0,0.0,persistent
PDE_EVO_s0p11765625_T800_tail0p35,0.11765625,800.0,64,64,20260702,0.35,True,True,True,0.6433288740043027,0.6413497187946177,-3.09324985304242e-05,-0.0005744007803609846,0.33205664283935565,-0.34055809874203113,7.867205276147017e-17,1.1931678960332117,3.891849274607431,0.017530511125031026,0.16215965999445203,0.6726482997526597,0.6341262310524597,0,0.0,persistent
PDE_EVO_s0p11765625_T800_tail0p50,0.11765625,800.0,64,64,20260702,0.5,True,True,True,0.6639786456669684,0.6413497187946177,-0.000256939899311333,-0.00041498665354185524,0.328473319750496,-0.3441414218308908,9.360573301292978e-15,1.211784996102639,3.891849274607431,0.017530511125031026,0.16215965999445203,0.6726482997526597,0.6341262310524597,0,0.0,persistent
PDE_EVO_s0p125_T500_tail0p25,0.125,500.0,64,64,20260702,0.25,True,False,True,0.9282066586972549,0.7767717413374509,-0.0026030541171663374,-0.0018564133173945099,0.24142544160222823,-0.43118929997915856,3.1618714735259124e-13,1.4578695753376023,3.6923094082330987,0.008097635603620307,0.10597921987605353,0.6726482997526597,0.6078822514799479,0,0.0,slope_check_rejects
PDE_EVO_s0p125_T500_tail0p35,0.125,500.0,64,64,20260702,0.35,True,False,True,0.9940620272021364,0.7767717413374509,-0.0026171783311295764,-0.0014200886102887663,0.21698251935798185,-0.45563222222340494,3.7933897733635e-13,1.5227080507349346,3.6923094082330987,0.008097635603620307,0.10597921987605353,0.6726482997526597,0.6078822514799479,0,0.0,slope_check_rejects
PDE_EVO_s0p125_T500_tail0p50,0.125,500.0,64,64,20260702,0.5,True,True,True,0.86526443039,0.06928165470288913,0.0017262654018234272,-0.00086526443039,0.18745788991279516,-0.4851568516685916,3.109542275096262e-13,1.3992711903605517,3.6923094082330987,0.008097635603620307,0.10597921987605353,0.6726482997526597,0.6078822514799479,0,0.0,persistent
PDE_EVO_s0p125_T800_tail0p25,0.125,800.0,64,64,20260702,0.25,True,True,True,0.6445139789170395,0.6410835781180754,-7.169699722161648e-05,-0.0008056424736462995,0.3107833078322851,-0.3618314337491017,1.8500519915820396e-16,1.1942627861977522,3.6923094082330987,0.008097635603620307,0.10597921987605353,0.6726482997526597,0.6078822514799479,0,0.0,persistent
PDE_EVO_s0p125_T800_tail0p35,0.125,800.0,64,64,20260702,0.35,True,True,True,0.6592115791113141,0.6410835781180754,-0.0002720269626932209,-0.0005885817670636733,0.3086025063444194,-0.3640122352369674,5.094044842973537e-15,1.2075978319141571,3.6923094082330987,0.008097635603620307,0.10597921987605353,0.6726482997526597,0.6078822514799479,0,0.0,persistent
PDE_EVO_s0p125_T800_tail0p50,0.125,800.0,64,64,20260702,0.5,True,False,True,0.7239455480131943,0.6410835781180754,-0.0008332265820702212,-0.00045246596750824646,0.2934482125617962,-0.3791665290195906,7.527424131410192e-14,1.2674447743702992,3.6923094082330987,0.008097635603620307,0.10597921987605353,0.6726482997526597,0.6078822514799479,0,0.0,slope_check_rejects
PDE_EVO_s0p135_T500_tail0p25,0.135,500.0,64,64,20260702,0.25,True,True,True,1.1680979909489642,0.3615520046879027,0.0030704484513523916,-0.0023361959818979285,0.07532010107019939,-0.5972946405111874,2.5925063793484825e-13,1.7022552226511118,3.5016686774936736,0.0021936781184717586,0.04515138408268171,0.6726482997526597,0.5799118881812362,0,0.0,persistent
PDE_EVO_s0p135_T500_tail0p35,0.135,500.0,64,64,20260702,0.35,True,True,True,0.8738110554757235,0.0376812238827829,0.008341143685972717,-0.001248301507822462,0.0698905556373164,-0.6027241859440704,1.8803379479507043e-13,1.4144155737237307,3.5016686774936736,0.0021936781184717586,0.04515138408268171,0.6726482997526597,0.5799118881812362,0,0.0,persistent
PDE_EVO_s0p135_T500_tail0p50,0.135,500.0,64,64,20260702,0.5,True,True,True,0.6211258943335846,0.0056810591540115,0.007140013328236035,-0.0006211258943335846,0.07767855369781065,-0.5949361878835762,1.39382132749268e-13,1.1700012668814477,3.5016686774936736,0.0021936781184717586,0.04515138408268171,0.6726482997526597,0.5799118881812362,0,0.0,persistent
PDE_EVO_s0p135_T800_tail0p25,0.135,800.0,64,64,20260702,0.25,True,False,True,0.7563864205215416,0.65030803715532,-0.0014701187017480237,-0.000945483025651927,0.26096688232995047,-0.4116478592514363,9.623108813273518e-14,1.297837559189337,3.5016686774936736,0.0021936781184717586,0.04515138408268171,0.6726482997526597,0.5799118881812362,0,0.0,slope_check_rejects
PDE_EVO_s0p135_T800_tail0p35,0.135,800.0,64,64,20260702,0.35,True,False,True,0.8390555066076083,0.65030803715532,-0.001853824097539368,-0.0007491567023282217,0.23676948913356194,-0.43584525244782485,2.0279651702744645e-13,1.3769643098199653,3.5016686774936736,0.0021936781184717586,0.04515138408268171,0.6726482997526597,0.5799118881812362,0,0.0,slope_check_rejects
PDE_EVO_s0p135_T800_tail0p50,0.135,800.0,64,64,20260702,0.5,True,False,True,0.9603004527261133,0.65030803715532,-0.0019467063166420178,-0.0006001877829538208,0.1927637720621897,-0.4798509695191971,2.409344954133744e-13,1.4971617011087721,3.5016686774936736,0.0021936781184717586,0.04515138408268171,0.6726482997526597,0.5799118881812362,0,0.0,slope_check_rejects
PDE_EVO_s0p141262205_T500_tail0p25,0.141262205,500.0,64,64,20260702,0.25,True,True,True,0.407909580516641,0.014827178057610522,0.011803305769641757,-0.000815819161033282,0.026979857719101073,-0.6456348838622857,1.1333308896895868e-14,0.9558941888339088,3.442364245366863,0.0008129614406312556,0.020136345395398526,0.6726482997526597,0.5672296112780176,0,0.0,persistent
PDE_EVO_s0p141262205_T500_tail0p35,0.141262205,500.0,64,64,20260702,0.35,True,True,True,0.29685557580270944,0.0046494739274953595,0.007122812758196971,-0.0004240793940038706,0.03425874280302119,-0.6383559987783656,1.0028142985119276e-14,0.8482506748350609,3.442364245366863,0.0008129614406312556,0.020136345395398526,0.6726482997526597,0.5672296112780176,0,0.0,persistent
PDE_EVO_s0p141262205_T500_tail0p50,0.141262205,500.0,64,64,20260702,0.5,True,True,True,0.2102454819396975,0.0012854693154473297,0.003944339561833521,-0.0002102454819396975,0.05207720806716489,-0.6205375335142219,1.4691886529231707e-14,0.7667771218530578,3.442364245366863,0.0008129614406312556,0.020136345395398526,0.6726482997526597,0.5672296112780176,0,0.0,persistent
PDE_EVO_s0p141262205_T800_tail0p25,0.141262205,800.0,64,64,20260702,0.25,True,False,True,1.073524137099226,0.8497323844854106,-0.0021108213961582257,-0.0013419051713740324,0.14673680975881706,-0.5258779318225697,4.193637631068761e-13,1.6064336844372795,3.442364245366863,0.0008129614406312556,0.020136345395398526,0.6726482997526597,0.5672296112780176,0,0.0,slope_check_rejects
PDE_EVO_s0p141262205_T800_tail0p35,0.141262205,800.0,64,64,20260702,0.35,True,False,True,1.1370970634778517,0.8497323844854106,-0.0017669569431841012,-0.0010152652352480819,0.11894330900477706,-0.5536714325766097,3.462019606727885e-13,1.6722721185758116,3.442364245366863,0.0008129614406312556,0.020136345395398526,0.6726482997526597,0.5672296112780176,0,0.0,slope_check_rejects
PDE_EVO_s0p141262205_T800_tail0p50,0.141262205,800.0,64,64,20260702,0.5,True,True,True,0.9793042277347508,0.02930819083291958,0.0014239684188970141,-0.0006120651423342192,0.09113083856247911,-0.5814839030189076,2.4965666966150867e-13,1.517582103805797,3.442364245366863,0.0008129614406312556,0.020136345395398526,0.6726482997526597,0.5672296112780176,0,0.0,persistent
PDE_EVO_s0p15_T500_tail0p25,0.15,500.0,64,64,20260702,0.25,True,True,True,0.0019110449113022726,0.0005764260002874799,3.017102278117894e-05,-3.822089822604545e-06,0.023692231982298417,-0.6489225095990884,1.4892556634661645e-15,0.5564999645803115,3.437983379910108,0.00015336324472817287,0.0030235608874326467,0.6726482997526597,0.5557179099113783,0,0.0,persistent
PDE_EVO_s0p15_T500_tail0p35,0.15,500.0,64,64,20260702,0.35,True,True,True,0.0014923237790640269,0.0002985022028651459,2.1557400034458498e-05,-2.13189111294861e-06,0.03165132125613169,-0.6409634203252551,3.140954075665834e-15,0.5576610022872721,3.437983379910108,0.00015336324472817287,0.0030235608874326467,0.6726482997526597,0.5557179099113783,0,0.0,persistent
PDE_EVO_s0p15_T500_tail0p50,0.15,500.0,64,64,20260702,0.5,True,True,True,0.001114680847144507,0.00016146736385217803,1.3896797525887152e-05,-1.114680847144507e-06,0.04990737840691091,-0.6227073631744758,1.0238616355172096e-14,0.5609693406664962,3.437983379910108,0.00015336324472817287,0.0030235608874326467,0.6726482997526597,0.5557179099113783,0,0.0,persistent
PDE_EVO_s0p15_T800_tail0p25,0.15,800.0,64,64,20260702,0.25,True,True,True,0.917397823468508,0.03833400593766713,0.008076642034442492,-0.001146747279335635,0.005404957164810029,-0.6672097844165767,4.132095688653466e-15,1.4640233928250113,3.437983379910108,0.00015336324472817287,0.0030235608874326467,0.6726482997526597,0.5557179099113783,0,0.0,persistent
PDE_EVO_s0p15_T800_tail0p35,0.15,800.0,64,64,20260702,0.35,True,True,True,0.6645259877627154,0.006795859017100592,0.006842875118666586,-0.0005933267747881387,0.005946426066541125,-0.6666683155148456,2.9978048925905934e-15,1.212453354373308,3.437983379910108,0.00015336324472817287,0.0030235608874326467,0.6726482997526597,0.5557179099113783,0,0.0,persistent
PDE_EVO_s0p15_T800_tail0p50,0.15,800.0,64,64,20260702,0.5,True,True,True,0.4684100125935768,0.0008396864824301519,0.00443017975074926,-0.0002927562578709855,0.009943201167716766,-0.66267154041367,2.38949798828062e-15,1.018061805359589,3.437983379910108,0.00015336324472817287,0.0030235608874326467,0.6726482997526597,0.5557179099113783,0,0.0,persistent
PDE_EVO_s0p1584375_T500_tail0p25,0.1584375,500.0,64,64,20260702,0.25,True,False,False,4.467397293335656e-05,2.6783641310174667e-05,3.568079369145273e-07,-8.000000000000001e-07,0.02346533020481981,-0.649149411376567,1.5414024687677394e-15,0.5546106166318227,4.833170805379261,1.985241145131828e-05,0.0006835845199480097,0.6726482997526597,0.550856836745885,0,0.0,near_classifier_tolerance
PDE_EVO_s0p1584375_T500_tail0p35,0.1584375,500.0,64,64,20260702,0.35,True,False,False,3.8738491877872086e-05,2.1159478149646564e-05,2.796032043620761e-07,-5.714285714285715e-07,0.031365303082914936,-0.6412494384984718,3.224573943886648e-15,0.5561684998547125,4.833170805379261,1.985241145131828e-05,0.0006835845199480097,0.6726482997526597,0.550856836745885,0,0.0,near_classifier_tolerance
PDE_EVO_s0p1584375_T500_tail0p50,0.1584375,500.0,64,64,20260702,0.5,True,False,False,3.332797385234302e-05,1.985809809393863e-05,1.8801726342154205e-07,-4.0000000000000003e-07,0.049487402483208626,-0.6231273390981782,1.0450466561653229e-14,0.5598171948973255,4.833170805379261,1.985241145131828e-05,0.0006835845199480097,0.6726482997526597,0.550856836745885,0,0.0,near_classifier_tolerance
PDE_EVO_s0p1584375_T800_tail0p25,0.1584375,800.0,64,64,20260702,0.25,True,True,True,0.0006655002465561901,0.00019326918727113933,6.573306767114413e-06,-8.318753081952376e-07,0.002089554725415364,-0.6705251868559714,1.0542472851849548e-17,0.5510661182593906,4.833170805379261,1.985241145131828e-05,0.0006835845199480097,0.6726482997526597,0.550856836745885,0,0.0,persistent
PDE_EVO_s0p1584375_T800_tail0p35,0.1584375,800.0,64,64,20260702,0.35,True,True,True,0.0005150897184565046,8.753608311946571e-05,4.751999929369067e-06,-4.599015343361648e-07,0.0035213302384614177,-0.6690934113429253,3.9123715767080244e-17,0.5511932278770317,4.833170805379261,1.985241145131828e-05,0.0006835845199480097,0.6726482997526597,0.550856836745885,0,0.0,persistent
PDE_EVO_s0p1584375_T800_tail0p50,0.1584375,800.0,64,64,20260702,0.5,True,True,True,0.0003779983897916389,3.1536846039333864e-05,3.0965993081229373e-06,-2.5e-07,0.00817825283832981,-0.6644364887430569,3.1958134375803565e-16,0.5519623629711371,4.833170805379261,1.985241145131828e-05,0.0006835845199480097,0.6726482997526597,0.550856836745885,0,0.0,persistent
PDE_EVO_s0p16486816_T500_tail0p25,0.16486816,500.0,64,64,20260702,0.25,True,False,False,2.738099196557148e-06,2.5565130459074766e-06,4.4407536963265115e-09,-8.000000000000001e-07,0.023342502616305914,-0.6492722389650809,1.5539618729361744e-15,0.5545449426683347,4.833170805379261,2.5563888016236968e-06,0.0006784517670002996,0.6726482997526597,0.5501405498201998,0,0.0,near_classifier_tolerance
PDE_EVO_s0p16486816_T500_tail0p35,0.16486816,500.0,64,64,20260702,0.35,True,False,False,2.7143871449872387e-06,2.5565130459074766e-06,2.140710126764241e-09,-5.714285714285715e-07,0.03120295362864425,-0.6414117879527426,3.2503495338467265e-15,0.5561006953202804,4.833170805379261,2.5563888016236968e-06,0.0006784517670002996,0.6726482997526597,0.5501405498201998,0,0.0,near_classifier_tolerance
