run_id,stress,q0,w0_scale,n0,w0,z0,T,classification,basin_label,tail_mean_w,tail_mean_q,q_change,previous_window_mean_w,latest_window_mean_w,relative_change_between_last_windows,rhs_norm,state_norm,normalized_residual,physical,min_n,min_w,min_q,max_q,min_z,q_clip_count,q_clip_max_violation,notes
s0p1584375_q0p7_wscale0p2,0.1584375,0.7,0.2,4.8333333333389445,0.12833333333268906,1.7049999999950334,1600.0,recovery_transient,transient_basin,1.050961335097738,4.798324232506274e-05,-0.6999520167576749,0.006486191378844289,1.050961335097738,161.03057753207995,8.285153643814718e-06,3.7354964562784585,2.217952483903283e-06,True,3.49794952512248,4.1519321085749634e-06,8.484179573100942e-06,0.7000335581712729,0.5504046016988056,0,0.0,window_change_indicates_transient
s0p1584375_q0p7_wscale0p5,0.1584375,0.7,0.5,4.8333333333389445,0.32083333333172265,1.5124999999959998,1600.0,recovery_transient,transient_basin,1.1876877975827842,0.00011502300847169366,-0.6998849769915283,0.013035557434935827,1.1876877975827842,90.11139308854813,2.0307258784894457e-05,3.7363105385589193,5.435110003658017e-06,True,3.497980653446339,6.869902599975573e-06,1.3356747023103573e-05,0.7000335581712729,0.5505147561970787,0,0.0,window_change_indicates_transient
s0p1584375_q0p7_wscale1,0.1584375,0.7,1.0,4.8333333333389445,0.6416666666634453,1.1916666666642772,1600.0,recovery_transient,transient_basin,1.2122655104153834,0.00013981633399208366,-0.6998601836660079,0.01529158909504603,1.2122655104153834,78.27662081948812,2.471816564441607e-05,3.736609526800187,6.615132104954851e-06,True,3.49799083979689,7.794699198347124e-06,1.4967044532135313e-05,0.7000335581712729,0.5505468470418581,0,0.0,window_change_indicates_transient
s0p1584375_q0p7_wscale1p5,0.1584375,0.7,1.5,4.8333333333389445,0.962499999995168,0.8708333333325544,1600.0,recovery_transient,transient_basin,1.192365694191159,0.0001257085925041887,-0.6998742914074958,0.013420703020681869,1.192365694191159,87.84524844590281,2.2199034510714072e-05,3.736438750532863,5.941227996189743e-06,True,3.497987105473901,7.453882597455833e-06,1.437591071771943e-05,0.7013714983153918,0.5505352617443593,0,0.0,window_change_indicates_transient
s0p1584375_q0p8_wscale0p02,0.1584375,0.8,0.02,4.8333333333389445,0.012833333333268906,1.8204999999944536,1600.0,recovery_transient,transient_basin,0.00044082696358980626,5.609121693770804e-06,-0.7999943908783063,5.776561475767308e-06,0.00044082696358980626,4.35050402114039,4.737090232592589e-05,6.112843230597699,7.749405724788083e-06,True,4.833170805379261,7.223982157399406e-09,4.6415825478640584e-07,0.800033558171273,0.550019772265889,0,0.0,window_change_indicates_transient
s0p1584375_q0p8_wscale0p05,0.1584375,0.8,0.05,4.8333333333389445,0.032083333333172266,1.8012499999945502,1600.0,recovery_transient,transient_basin,0.0010720581998965,5.625524440498818e-06,-0.7999943744755595,1.3694643950056267e-05,0.0010720581998965,10.583635559464437,0.00012405132104917221,6.107142570575878,2.0312497967027925e-05,True,4.833170805379261,1.7171405077609386e-08,4.6717031924849364e-07,0.800033558171273,0.5500298086876352,0,0.0,window_change_indicates_transient
s0p1584375_q0p8_wscale0p1,0.1584375,0.8,0.1,4.8333333333389445,0.06416666666634453,1.769166666661378,1600.0,recovery_transient,transient_basin,0.002044282795583562,5.65193674245413e-06,-0.7999943480632576,2.5122448147455676e-05,0.002044282795583562,20.191603474361063,0.0002649292726487694,6.097819962754472,4.3446555370109205e-05,True,4.833170805379261,3.163713544907983e-08,4.7193770095356e-07,0.800033558171273,0.5500398288015094,0,0.0,window_change_indicates_transient
s0p1584375_q0p8_wscale0p2,0.1584375,0.8,0.2,4.8333333333389445,0.12833333333268906,1.7049999999950334,1600.0,recovery_transient,transient_basin,0.0036956554501560916,5.701571226684148e-06,-0.7999942984287733,4.259035295373131e-05,0.0036956554501560916,36.5306509720236,0.0005793720314646936,6.080378208616993,9.528552527269091e-05,True,4.833170805379261,5.408489236404081e-08,4.805285646965467e-07,0.800033558171273,0.5500513637424023,0,0.0,window_change_indicates_transient
s0p1584375_q0p8_wscale0p5,0.1584375,0.8,0.5,4.8333333333389445,0.32083333333172265,1.5124999999959998,1600.0,recovery_transient,transient_basin,0.006617688673051881,5.829520399806137e-06,-0.7999941704796002,6.838291028753728e-05,0.006617688673051881,65.49305762764342,0.0014419792552818114,6.044027519510906,0.0002385792008105382,True,4.833170805379261,8.88228471795268e-08,4.994609245203463e-07,0.800033558171273,0.5500649940292599,0,0.0,window_change_indicates_transient
s0p1584375_q0p8_wscale1,0.1584375,0.8,1.0,4.8333333333389445,0.6416666666634453,1.1916666666642772,1600.0,recovery_transient,transient_basin,0.007507943762052422,5.99360380277624e-06,-0.7999940063961972,7.513359724277282e-05,0.007507943762052422,74.32810164809649,0.0018044958838641777,6.031425339223319,0.0002991823296110877,True,4.833170805379261,1.0058847200181563e-07,5.160969031418133e-07,0.800033558171273,0.5500689459295403,0,0.0,window_change_indicates_transient
s0p1584375_q0p8_wscale1p5,0.1584375,0.8,1.5,4.8333333333389445,0.962499999995168,0.8708333333325544,1600.0,recovery_transient,transient_basin,0.006839510326812313,6.118106959479333e-06,-0.7999938818930405,7.011196400651163e-05,0.006839510326812313,67.69398362805802,0.0015273334551231415,6.040957563846059,0.0002528296944616746,True,4.474252886988119,9.606910469637941e-08,5.248411439536579e-07,0.8009732397818367,0.5500674582122188,0,0.0,window_change_indicates_transient
s0p1584375_q0p9_wscale0p02,0.1584375,0.9,0.02,4.8333333333389445,0.012833333333268906,1.8204999999944536,1600.0,extinct_steady,extinct_basin,1.295443276570468e-07,9.902037731409064e-06,-0.8999900979622686,1.7295394606772108e-09,1.295443276570468e-07,0.0012781478819636957,1.4249296332883119e-08,6.116665404172556,2.32958571236589e-09,True,4.833170805379261,4.0635157446204265e-12,8.173764586337769e-07,0.900033558171273,0.5500005698609983,0,0.0,steady_by_tail_change_and_rhs_residual
