D_n,D_w,D_q,stress,lambda_value,q_star,max_real_growth,eigenvalues_real,eigenvalues_imag,positive_lambda
0.01,0.01,0.0,0.11765625,22.271363734331324,0.3321577847439918,-0.003240595590597188,-4.761636155;-0.2666190213;-0.003240595591,0;0;0,True
0.01,0.01,0.0,0.11765625,22.60880863939695,0.3321577847439918,-0.003203845422709437,-4.765010856;-0.270029969;-0.003203845423,0;0;0,True
0.01,0.01,0.0,0.11765625,22.94625354446258,0.3321577847439918,-0.003168016936149835,-4.768385556;-0.2734399953;-0.003168016936,0;0;0,True
0.01,0.01,0.0,0.11765625,23.283698449528202,0.3321577847439918,-0.003133075333881926,-4.771760256;-0.2768491352;-0.003133075334,0;0;0,True
0.01,0.01,0.0,0.11765625,23.62114335459383,0.3321577847439918,-0.003098987565916691,-4.775134955;-0.2802574215;-0.003098987566,0;0;0,True
0.01,0.01,0.0,0.11765625,23.958588259659454,0.3321577847439918,-0.0030657222200442457,-4.778509655;-0.2836648858;-0.00306572222,0;0;0,True
0.01,0.01,0.0,0.11765625,24.29603316472508,0.3321577847439918,-0.0030332494207342517,-4.781884353;-0.2870715579;-0.003033249421,0;0;0,True
0.01,0.01,0.0,0.11765625,24.63347806979071,0.3321577847439918,-0.00300154073549577,-4.785259052;-0.2904774662;-0.003001540735,0;0;0,True
0.01,0.01,0.0,0.11765625,24.970922974856332,0.3321577847439918,-0.0029705690880572977,-4.78863375;-0.2938826378;-0.002970569088,0;0;0,True
0.01,0.01,0.0,0.11765625,25.30836787992196,0.3321577847439918,-0.0029403086777900315,-4.792008448;-0.2972870986;-0.002940308678,0;0;0,True
0.01,0.01,0.0,0.11765625,25.645812784987587,0.3321577847439918,-0.00291073490485291,-4.795383145;-0.300690873;-0.002910734905,0;0;0,True
0.01,0.01,0.0,0.11765625,25.98325769005321,0.3321577847439918,-0.0028818243005875217,-4.798757842;-0.3040939847;-0.002881824301,0;0;0,True
0.01,0.01,0.0,0.11765625,26.32070259511884,0.3321577847439918,-0.002853554462735217,-4.802132539;-0.3074964559;-0.002853554463,0;0;0,True
0.01,0.01,0.0,0.11765625,26.658147500184466,0.3321577847439918,-0.0028259039950883965,-4.805507235;-0.3108983081;-0.002825903995,0;0;0,True
0.01,0.01,0.0,0.11765625,26.99559240525009,0.3321577847439918,-0.002798852451223469,-4.808881931;-0.3142995617;-0.002798852451,0;0;0,True
