r_v,a_v,b_u,b_v,b_v_over_b_u,c,valid_selection_ratio,z_star,w_star,n_star,s_at_q_equals_1,s_at_q_equals_0,interior_interval_length,nonnegative_interval_length,branch_exists_at_s_0,branch_exists_at_s_0p1584375,branch_exists_at_s_0p16486816,branch_exists_at_s_0p175,qualitative_class,notes
0.65,0.35,0.1,0.025,0.25,0.5384615384615384,True,1.1916666666666667,0.6416666666666666,4.833333333333334,-0.08434027777777775,0.34763888888888905,0.4319791666666668,0.34763888888888905,True,True,True,True,compensation_branch_present,analytic_grid_entry
0.65,0.35,0.1,0.05,0.5,0.5384615384615384,True,1.1916666666666667,0.6416666666666666,4.833333333333334,0.05965277777777783,0.34763888888888905,0.2879861111111112,0.2879861111111112,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
0.65,0.35,0.1,0.07500000000000001,0.75,0.5384615384615384,True,1.1916666666666667,0.6416666666666666,4.833333333333334,0.2036458333333335,0.34763888888888905,0.14399305555555555,0.14399305555555555,False,False,False,False,compensation_branch_present,q_star_outside_interior_interval
0.65,0.45,0.06,0.015,0.25,0.6363636363636362,True,1.5124999999999995,0.9624999999999995,4.191666666666668,-0.1974015624999999,0.0878937500000001,0.2852953125,0.0878937500000001,True,False,False,False,compensation_branch_present,analytic_grid_entry
0.65,0.45,0.06,0.03,0.5,0.6363636363636362,True,1.5124999999999995,0.9624999999999995,4.191666666666668,-0.10230312499999991,0.0878937500000001,0.19019687500000002,0.0878937500000001,True,False,False,False,compensation_branch_present,analytic_grid_entry
0.65,0.45,0.06,0.045,0.75,0.6363636363636362,True,1.5124999999999995,0.9624999999999995,4.191666666666668,-0.00720468749999989,0.0878937500000001,0.0950984375,0.0878937500000001,True,False,False,False,compensation_branch_present,analytic_grid_entry
0.65,0.45,0.08,0.02,0.25,0.6363636363636362,True,1.5124999999999995,0.9624999999999995,4.191666666666668,-0.16570208333333322,0.21469166666666684,0.3803937500000001,0.21469166666666684,True,True,True,True,compensation_branch_present,analytic_grid_entry
0.65,0.45,0.08,0.04,0.5,0.6363636363636362,True,1.5124999999999995,0.9624999999999995,4.191666666666668,-0.038904166666666545,0.21469166666666684,0.25359583333333335,0.21469166666666684,True,True,True,True,compensation_branch_present,analytic_grid_entry
0.65,0.45,0.08,0.06,0.75,0.6363636363636362,True,1.5124999999999995,0.9624999999999995,4.191666666666668,0.0878937500000001,0.21469166666666684,0.12679791666666673,0.12679791666666673,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
0.65,0.45,0.1,0.025,0.25,0.6363636363636362,True,1.5124999999999995,0.9624999999999995,4.191666666666668,-0.13400260416666657,0.34148958333333346,0.4754921875,0.34148958333333346,True,True,True,True,compensation_branch_present,analytic_grid_entry
0.65,0.45,0.1,0.05,0.5,0.6363636363636362,True,1.5124999999999995,0.9624999999999995,4.191666666666668,0.024494791666666765,0.34148958333333346,0.31699479166666666,0.31699479166666666,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
0.65,0.45,0.1,0.07500000000000001,0.75,0.6363636363636362,True,1.5124999999999995,0.9624999999999995,4.191666666666668,0.18299218750000013,0.34148958333333346,0.15849739583333333,0.15849739583333333,False,False,False,False,compensation_branch_present,q_star_outside_interior_interval
0.75,0.25,0.06,0.015,0.25,0.3333333333333333,True,0.825,0.27499999999999997,5.566666666666666,-0.08611250000000001,0.12054999999999996,0.20666249999999997,0.12054999999999996,True,False,False,False,compensation_branch_present,analytic_grid_entry
0.75,0.25,0.06,0.03,0.5,0.3333333333333333,True,0.825,0.27499999999999997,5.566666666666666,-0.017225000000000018,0.12054999999999996,0.13777499999999998,0.12054999999999996,True,False,False,False,compensation_branch_present,analytic_grid_entry
0.75,0.25,0.06,0.045,0.75,0.3333333333333333,True,0.825,0.27499999999999997,5.566666666666666,0.05166249999999997,0.12054999999999996,0.06888749999999999,0.06888749999999999,False,False,False,False,compensation_branch_present,q_star_outside_interior_interval
0.75,0.25,0.08,0.02,0.25,0.3333333333333333,True,0.825,0.27499999999999997,5.566666666666666,-0.06315000000000001,0.21239999999999998,0.27554999999999996,0.21239999999999998,True,True,True,True,compensation_branch_present,analytic_grid_entry
