representative_stress,treatment,evolve_q,time,n,w,q,z
0.11912265277777781,frozen_q,False,72.5,5.932137312929688,0.008649803956375946,0.672614741580259,0.7258795497806027
0.11912265277777781,frozen_q,False,75.0,5.933925543528554,0.007631310280037199,0.672614741580259,0.7251098128580757
0.11912265277777781,frozen_q,False,77.5,5.935501102713045,0.006733912305327148,0.672614741580259,0.7244316516482951
0.11912265277777781,frozen_q,False,80.0,5.93688974221255,0.005942952477667551,0.672614741580259,0.7238339719764495
0.11912265277777781,frozen_q,False,82.5,5.938113995502507,0.005245605406128395,0.672614741580259,0.7233070657580319
0.11912265277777781,frozen_q,False,85.0,5.939193602062502,0.004630634749777222,0.672614741580259,0.7228424298543882
0.11912265277777781,frozen_q,False,87.5,5.940145867513541,0.004088188182652996,0.672614741580259,0.7224326109704727
0.11912265277777781,frozen_q,False,90.0,5.940985980851801,0.003609618429984221,0.672614741580259,0.7220710673848817
0.11912265277777781,frozen_q,False,92.5,5.941727280587456,0.003187330054548251,0.672614741580259,0.721752056024663
0.11912265277777781,frozen_q,False,95.0,5.942381490918366,0.002814647074305383,0.672614741580259,0.721470528673996
0.11912265277777781,frozen_q,False,97.5,5.942958922933542,0.002485697876506603,0.672614741580259,0.7212220458566183
0.11912265277777781,frozen_q,False,100.0,5.943468648775423,0.0021953157151080173,0.672614741580259,0.721002702176136
0.11912265277777781,frozen_q,False,102.5,5.943918655295375,0.0019389518921265503,0.672614741580259,0.7208090594791651
0.11912265277777781,frozen_q,False,105.0,5.9443159766264015,0.0017126001174785977,0.672614741580259,0.7206380899227868
0.11912265277777781,frozen_q,False,107.5,5.944666810085237,0.0015127305548070364,0.672614741580259,0.720487126026623
0.11912265277777781,frozen_q,False,110.0,5.944976617642991,0.0013362321237998498,0.672614741580259,0.7203538168998765
0.11912265277777781,frozen_q,False,112.5,5.945250214478397,0.0011803620523117596,0.672614741580259,0.7202360901359578
0.11912265277777781,frozen_q,False,115.0,5.945491846760065,0.0010427016252603095,0.672614741580259,0.7201321182813414
0.11912265277777781,frozen_q,False,117.5,5.9457052597304445,0.0009211174180729494,0.672614741580259,0.7200402895181495
0.11912265277777781,frozen_q,False,120.0,5.945893757417507,0.000813727299842369,0.672614741580259,0.7199591819493173
0.11912265277777781,frozen_q,False,122.5,5.946060255150334,0.0007188705299861998,0.672614741580259,0.7198875409863469
0.11912265277777781,frozen_q,False,125.0,5.946207325687133,0.0006350814947603129,0.672614741580259,0.719824259484774
0.11912265277777781,frozen_q,False,127.5,5.946337239775406,0.000561066599630386,0.672614741580259,0.7197683602916302
0.11912265277777781,frozen_q,False,130.0,5.9464520019588125,0.0004956839002370875,0.672614741580259,0.7197189808076173
0.11912265277777781,frozen_q,False,132.5,5.946553381823938,0.00043792528667332254,0.672614741580259,0.7196753595560561
0.11912265277777781,frozen_q,False,135.0,5.946642941762788,0.00038690066784345786,0.672614741580259,0.7196368242360351
0.11912265277777781,frozen_q,False,137.5,5.946722061324794,0.00034182410945124604,0.672614741580259,0.7196027812324213
0.11912265277777781,frozen_q,False,140.0,5.946791958665958,0.0003020015928360449,0.672614741580259,0.7195727064078726
