case_label,stress,baseline_state,perturbation_type,seed,time,var_n,var_w,var_q,cv_n,cv_w,cv_q,min_n,min_w,min_q,max_q,min_z
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1290.0,1.3760169850321505e-21,3.5301482261515645e-22,3.19543075154408e-23,7.674766122254578e-12,2.9281073279805106e-11,2.8908342086298292e-11,4.833333333292426,0.6416666666120694,0.1955426605335003,0.1955426605553479,1.1916666666126385
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1295.0,5.020438053999441e-22,1.27026893138105e-22,3.36022945421457e-23,4.635793251010874e-12,1.7564603838271372e-11,2.964441928909857e-11,4.8333333332819155,0.6416666666436222,0.19554266053308417,0.1955426605555075,1.191666666642562
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1300.0,1.361995325154725e-22,3.442721952253611e-23,3.420219252508476e-23,2.414577008336494e-12,9.144111125347171e-12,2.9907867901838315e-11,4.833333333273372,0.6416666666709907,0.19554266053303868,0.19554266055567332,1.1916666666685463
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1305.0,1.1760291269754336e-22,3.272425707965789e-23,3.3868071718878944e-23,2.243687102950949e-12,8.915083572948306e-12,2.9761424572861824e-11,4.833333333264045,0.6416666666811742,0.1955426605333119,0.1955426605558428,1.1916666666802633
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1310.0,3.181140399310859e-22,8.811613314322969e-23,3.274676386930618e-23,3.690155531307265e-12,1.4629121136004243e-11,2.9264605513990574e-11,4.833333333242073,0.6416666666811569,0.19554266053385524,0.1955426605560135,1.1916666666802622
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1315.0,6.387163205302228e-22,1.7452125497763045e-22,3.09993191667165e-23,5.2288629525211654e-12,2.0588024884780103e-11,2.8473087183346956e-11,4.833333333210874,0.6416666666809856,0.19554266053462344,0.19554266055618336,1.1916666666801152
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1320.0,1.0056194713655887e-21,2.7253863883696197e-22,2.8787534555761224e-23,6.56100078014949e-12,2.5727913215442485e-11,2.7438522141619984e-11,4.833333333184976,0.6416666666806793,0.195542660535575,0.195542660556351,1.191666666679839
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1325.0,1.3663620298722589e-21,3.6840786659128317e-22,2.6264299511330435e-23,7.647793358525324e-12,2.991265543763661e-11,2.6208453275602022e-11,4.833333333164615,0.6416666666802573,0.19554266053667202,0.19554266055651465,1.1916666666794538
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1330.0,1.6860116659399358e-21,4.529990779967479e-22,2.356671304105874e-23,8.495394288057394e-12,3.316951946877762e-11,2.4826070648670328e-11,4.8333333331492625,0.6416666666797383,0.19554266053787994,0.1955426605566731,1.1916666666789744
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1335.0,1.9436678586427758e-21,5.208858681823718e-22,2.0812644873384626e-23,9.121458341496926e-12,3.556819352653352e-11,2.3330396358887577e-11,4.8333333331384,0.641666666679139,0.19554266053916794,0.19554266055682518,1.1916666666784201
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1340.0,2.1292915144300473e-21,5.695032926963021e-22,1.809904745869069e-23,9.547085548801875e-12,3.7191067190457385e-11,2.1756365164676402e-11,4.833333333131531,0.6416666666784757,0.19554266054050842,0.19554266055697006,1.1916666666778024
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1345.0,2.2409619040792663e-21,5.984167796568061e-22,1.5501808513598064e-23,9.794234305149602e-12,3.8123468149041996e-11,2.0134908672352198e-11,4.833333333128172,0.6416666666777632,0.1955426605418771,0.19554266055710698,1.1916666666771376
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1350.0,2.282465659060604e-21,6.086942539787677e-22,1.3076858948906478e-23,9.884515312338778e-12,3.844944912002052e-11,1.8493120510922707e-11,4.833333333127869,0.6416666666770149,0.1955426605432528,0.19554266055723538,1.19166666667644
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1355.0,2.2614003439465018e-21,6.023925705173645e-22,1.0862093400713149e-23,9.838796533293842e-12,3.824990178259399e-11,1.6854475671699134e-11,4.833333333130195,0.6416666666762436,0.19554266054461716,0.19554266055735486,1.191666666675717
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1360.0,2.187537394535666e-21,5.821384524349882e-22,8.879808749528216e-24,9.676782847898604e-12,3.7601369626610595e-11,1.523913394044645e-11,4.833333333134745,0.6416666666754602,0.19554266054595457,0.19554266055746522,1.1916666666749836
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1365.0,2.0716472015252457e-21,5.508065511091882e-22,7.139104370897751e-24,9.416969229098464e-12,3.657548294877827e-11,1.3664078416262177e-11,4.83333333314115,0.6416666666746759,0.19554266054725217,0.19554266055756633,1.191666666674248
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1370.0,1.924530600992981e-21,5.112744199996244e-22,5.63846002612613e-24,9.076442547591903e-12,3.523851133697477e-11,1.2143356163545325e-11,4.833333333149064,0.6416666666738979,0.19554266054849923,0.19554266055765818,1.191666666673517
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1375.0,1.7564147653047423e-21,4.662589517886478e-22,4.3682068422814666e-24,8.670952201016039e-12,3.365147558288334e-11,1.0688335498063125e-11,4.833333333158176,0.6416666666731343,0.19554266054968714,0.1955426605577409,1.1916666666728002
