parameter_set_label,stress,equilibrium_id,n_star,w_star,q_star,z_star,selection_gradient,predator_growth_factor,max_real_eigenvalue,stability_label,physical,notes
weak_or_absent_branch,0.1584375,weak_or_absent_branch_s0p1584375_eq01,6.1166666466423445,9.999786271548714e-09,9.999999141358969e-11,0.5500000100245362,-0.24749999901115885,-0.05658749899689383,-0.012374999948640948,stable,True,least_squares_residual=5.659e-10
weak_or_absent_branch,0.1584375,weak_or_absent_branch_s0p1584375_eq02,5.6666666485027,9.99060764842229e-09,0.9999999999990543,1.0000000081733595,-0.44999999818317754,-0.1734375015756043,0.022499999908497038,unstable,True,least_squares_residual=1.733e-09
weak_or_absent_branch,0.1584375,weak_or_absent_branch_s0p1584375_eq03,1e-08,1e-08,0.9999999999,6.666666646666667,-2.9999999854999997,-0.258437501,3.116666645966667,unstable,True,least_squares_residual=3.127e-08
weak_or_absent_branch,0.1584375,weak_or_absent_branch_s0p1584375_eq04,1e-08,1e-08,1e-10,6.666666646666667,-2.9999999854999997,-0.258437498,6.116666626366667,unstable,True,least_squares_residual=6.122e-08
weak_or_absent_branch,0.16486816,weak_or_absent_branch_s0p16486816_eq01,6.116666666597141,2.2923856714386455e-11,9.566827155576273e-11,0.5500000000466017,-0.24750000000836261,-0.0630181600042593,-0.012374999998584175,stable,True,least_squares_residual=1.868e-12
weak_or_absent_branch,0.16486816,weak_or_absent_branch_s0p16486816_eq02,5.666666648503988,9.989899678527235e-09,0.9999999999990541,1.0000000081727798,-0.449999998183306,-0.17986816157549268,0.02249999990850345,unstable,True,least_squares_residual=1.797e-09
weak_or_absent_branch,0.16486816,weak_or_absent_branch_s0p16486816_eq03,1e-08,1e-08,0.9999999999,6.666666646666667,-2.9999999854999997,-0.26486816100000005,3.116666645966667,unstable,True,least_squares_residual=3.128e-08
weak_or_absent_branch,0.16486816,weak_or_absent_branch_s0p16486816_eq04,1e-08,1e-08,1e-10,6.666666646666667,-2.9999999854999997,-0.264868158,6.116666626366668,unstable,True,least_squares_residual=6.122e-08
weak_or_absent_branch,0.16486816,weak_or_absent_branch_s0p16486816_eq05,6.1166496570926245,8.50410552710328e-06,5.506690583568791e-09,0.5500085054685153,-0.24749915020279198,-0.06301730147243889,-0.012374957404577232,stable,True,least_squares_residual=5.359e-07
weak_or_absent_branch,0.175,weak_or_absent_branch_s0p175_eq01,6.116666646642631,9.999642882777827e-09,9.9999991413533e-11,0.5500000100243927,-0.24749999901117312,-0.0731499989969084,-0.012374999948641658,stable,True,least_squares_residual=7.315e-10
weak_or_absent_branch,0.175,weak_or_absent_branch_s0p175_eq02,5.66666664850611,9.988732383337593e-09,0.9999999999990538,1.0000000081718243,-0.4499999981835181,-0.1900000015753085,0.022499999909763032,unstable,True,least_squares_residual=1.898e-09
weak_or_absent_branch,0.175,weak_or_absent_branch_s0p175_eq03,1e-08,1e-08,0.9999999999,6.666666646666667,-2.9999999854999997,-0.27500000100000005,3.1166666459666676,unstable,True,least_squares_residual=3.129e-08
weak_or_absent_branch,0.175,weak_or_absent_branch_s0p175_eq04,1e-08,1e-08,1e-10,6.666666646666667,-2.9999999854999997,-0.274999998,6.116666626366667,unstable,True,least_squares_residual=6.123e-08
