stress,q0,w0_scale,n0,w0,z0,classification,basin_label,tail_mean_w,tail_mean_q,q_change,selection_gradient_tail_mean,predator_growth_factor_tail_mean,relative_change_between_last_windows,physical,notes
0.1584375,0.2,0.1,4.8333333333389445,0.06416666666634453,1.769166666661378,persistent_steady,persistent_basin,0.6416667054734273,0.21415079207793336,0.01415079207793335,1.2389135161530969e-08,-2.016689362487279e-09,-4.784222602932861e-05,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.2,0.2,4.8333333333389445,0.12833333333268906,1.7049999999950334,persistent_steady,persistent_basin,0.6416666620791471,0.21415079189612854,0.014150791896128528,-1.4709429216502113e-09,1.7393024640571455e-10,3.5910133314538015e-06,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.2,0.5,4.8333333333389445,0.32083333333172265,1.5124999999959998,persistent_steady,persistent_basin,0.6416666669213925,0.21415079165169987,0.014150791651699857,8.402045451701335e-11,1.5128232685772624e-11,-2.173966863408865e-07,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.2,1.0,4.8333333333389445,0.6416666666634453,1.1916666666642772,persistent_steady,persistent_basin,0.6416666664219123,0.21415079181177557,0.01415079181177556,-8.056887530252765e-11,-1.2167239095537436e-11,-6.218716966241512e-08,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.2,1.5,4.8333333333389445,0.962499999995168,0.8708333333325544,persistent_steady,persistent_basin,0.6416666664916215,0.2141507917038191,0.014150791703819082,-5.488382108183909e-11,1.9333065669630893e-11,5.768270507503339e-08,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.3,0.02,4.8333333333389445,0.012833333333268906,1.8204999999944536,declining_transient,transient_basin,0.6413761629972525,0.21431315831369596,-0.08568684168630403,-9.804325212956036e-05,-3.870733113387371e-05,-0.3065891911836535,True,window_change_indicates_transient
0.1584375,0.3,0.05,4.8333333333389445,0.032083333333172266,1.8012499999945502,declining_transient,transient_basin,0.6417039008737071,0.21414233193434476,-0.08585766806565523,1.2164528111949612e-05,9.070345394562656e-07,-0.08590223613732252,True,window_change_indicates_transient
0.1584375,0.3,0.1,4.8333333333389445,0.06416666666634453,1.769166666661378,persistent_steady,persistent_basin,0.6416649054815639,0.21415135035701033,-0.08584864964298966,-5.804006507214721e-07,-9.420325126650606e-08,-0.0023623605097321905,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.3,0.2,4.8333333333389445,0.12833333333268906,1.7049999999950334,persistent_steady,persistent_basin,0.6416668112527001,0.2141507640487245,-0.0858492359512755,4.775351828576633e-08,1.3800012603841865e-09,3.9039824221960766e-05,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.3,0.5,4.8333333333389445,0.32083333333172265,1.5124999999959998,persistent_steady,persistent_basin,0.6416666599023401,0.2141507921270544,-0.08584920787294559,-2.17372443227723e-09,2.0611195774813654e-10,3.94941589719728e-06,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.3,1.0,4.8333333333389445,0.6416666666634453,1.1916666666642772,persistent_steady,persistent_basin,0.6416666644690912,0.21415079185650102,-0.08584920814349897,-7.105402117160263e-10,7.249250068543358e-11,3.00311285482047e-06,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.3,1.5,4.8333333333389445,0.962499999995168,0.8708333333325544,persistent_steady,persistent_basin,0.6416666622568893,0.21415079191909964,-0.08584920808090035,-1.4148068203958091e-09,1.5771971520301607e-10,3.7871197341757826e-06,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.4,0.02,4.8333333333389445,0.012833333333268906,1.8204999999944536,declining_transient,transient_basin,0.8095155231006995,0.17962228358500465,-0.22037771641499537,0.0527867409584559,-0.0014070022102088138,-0.3574963144049538,True,window_change_indicates_transient
0.1584375,0.4,0.05,4.8333333333389445,0.032083333333172266,1.8012499999945502,declining_transient,transient_basin,0.6662164121215737,0.2114966396405338,-0.18850336035946622,0.007858486779657255,-0.0005675553707199548,-0.4046949312890126,True,window_change_indicates_transient
0.1584375,0.4,0.1,4.8333333333389445,0.06416666666634453,1.769166666661378,declining_transient,transient_basin,0.6415872687771211,0.21431721889160277,-0.18568278110839725,-3.076634852868908e-05,-5.066940592205944e-05,-0.3141056104748263,True,window_change_indicates_transient
