run_id,scan,axis,mu,D_w_over_D_u,stress,T,n_x,n_y,dt,seed,epsilon,baseline_turing_unstable,baseline_growth,ode_persistent,pde_persistent,classification,mean_w_ode,mean_w_pde,ode_tail_mean_w,ode_tail_min_w,ode_tail_slope_w,pde_tail_mean_w,pde_tail_min_w,pde_tail_slope_w,var_u_final,var_v_final,var_w_final,final_pattern_strength,final_pattern_measurable,final_quarter_mean_pattern_strength,persistent_pattern_measurable,dominant_wavelength_final,dominant_power_final,min_z_final,negative_detected,z_negative_detected,status
fine_019,fine_threshold,mu,0.85,100.0,0.55,70.0,36,36,0.025,20260631,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",1.2188498757491417e-05,1.1924026042343837e-05,6.0329828071908635e-05,1.2188498757491417e-05,-8.24502091063434e-06,5.406919889858143e-05,1.1924026042343837e-05,-7.353525048048492e-06,1.6412603794584895e-18,1.6403827950249392e-18,9.721620145962997e-26,1.6412603794584895e-18,False,1.8273280344376618e-17,False,20.0,1.5698811125095616e-13,1.1974451016421723,False,False,ok
fine_020,fine_threshold,mu,0.85,100.0,0.6,70.0,36,36,0.025,20260631,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",4.927857372793722e-07,4.748960654582724e-07,4.5797258798692844e-06,4.927857372793722e-07,-7.756866070588461e-07,3.947223757686691e-06,4.748960654582724e-07,-6.630540968784262e-07,1.7963233644122207e-18,1.7961167856587542e-18,2.2098460672747365e-28,1.7963233644122207e-18,False,2.0027160536770427e-17,False,14.142135623730947,1.6471809701135822e-13,1.1974305002381997,False,False,ok
fine_021,fine_threshold,mu,0.95,100.0,0.5,70.0,36,36,0.025,20260631,0.0001,True,0.17330464407919527,False,False,"ODE extinct, PDE extinct",0.00019872492404432424,0.0001964410188372366,0.0005497207922902147,0.00019872492404432424,-5.347639608353203e-05,0.0005109000396068769,0.0001964410188372366,-4.959134898598597e-05,1.3061046187609888e-18,1.299420995244078e-18,1.0489574121453598e-23,1.3061046187609888e-18,False,1.4570604051418166e-17,False,20.0,1.1780432768128156e-13,1.1976718798827153,False,False,ok
fine_022,fine_threshold,mu,0.95,100.0,0.55,70.0,36,36,0.025,20260631,0.0001,True,0.17330464407919527,False,False,"ODE extinct, PDE extinct",9.22074628200083e-06,9.015692482515346e-06,4.5638688014110384e-05,9.22074628200083e-06,-6.237118805492903e-06,4.088020133935321e-05,9.015692482515346e-06,-5.559692123319757e-06,1.4596201286011382e-18,1.4590954106899807e-18,3.990778270677319e-26,1.4596201286011382e-18,False,1.6312373301628463e-17,False,14.142135623730947,1.299184069444977e-13,1.197441374081006,False,False,ok
fine_023,fine_threshold,mu,0.95,100.0,0.6,70.0,36,36,0.025,20260631,0.0001,True,0.17330464407919527,False,False,"ODE extinct, PDE extinct",3.74743071088686e-07,3.608648392160965e-07,3.4826061985129315e-06,3.74743071088686e-07,-5.898619300700426e-07,2.9993391156742513e-06,3.608648392160965e-07,-5.038233557008385e-07,1.5788330591761224e-18,1.5787135035334098e-18,9.344496152621373e-29,1.5788330591761224e-18,False,1.7660185570044548e-17,False,14.142135623730947,1.3999490439921766e-13,1.1974303366744516,False,False,ok
fine_024,fine_threshold,diffusion_ratio,0.85,70.0,0.5,70.0,36,36,0.025,20260631,0.0001,True,0.16913145305636842,False,False,"ODE extinct, PDE extinct",0.00026282435528816807,0.0002598900204920772,0.0007271218190787121,0.00026282435528816807,-7.07427422623069e-05,0.0006759909769994938,0.0002598900204920772,-6.562383991417785e-05,1.4522064187817681e-18,1.4332288164876377e-18,7.128365732146348e-23,1.4522064187817681e-18,False,1.6107202669828924e-17,False,20.0,1.5478290417501903e-13,1.1977500741122034,False,False,ok
fine_025,fine_threshold,diffusion_ratio,0.85,70.0,0.55,70.0,36,36,0.025,20260631,0.0001,True,0.16913145305636842,False,False,"ODE extinct, PDE extinct",1.2188498757491417e-05,1.1924026042910817e-05,6.0329828071908635e-05,1.2188498757491417e-05,-8.24502091063434e-06,5.406919890415538e-05,1.1924026042910817e-05,-7.3535250490229365e-06,1.643664515443104e-18,1.6422935629659694e-18,2.665697295989233e-25,1.643664515443104e-18,False,1.830779647357376e-17,False,20.0,1.5804967088548755e-13,1.1974451016415613,False,False,ok
fine_026,fine_threshold,diffusion_ratio,0.85,70.0,0.6,70.0,36,36,0.025,20260631,0.0001,True,0.16913145305636842,False,False,"ODE extinct, PDE extinct",4.927857372793722e-07,4.748960654850551e-07,4.5797258798692844e-06,4.927857372793722e-07,-7.756866070588461e-07,3.94722375819324e-06,4.748960654850551e-07,-6.630540969790208e-07,1.7969027583327992e-18,1.7966714127875453e-18,6.104037928816867e-28,1.7969027583327992e-18,False,2.0041928764560147e-17,False,20.0,1.649059992028352e-13,1.197430500238181,False,False,ok
fine_027,fine_threshold,diffusion_ratio,0.85,100.0,0.5,70.0,36,36,0.025,20260631,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",0.00026282435528816807,0.00025989002048262957,0.0007271218190787121,0.00026282435528816807,-7.07427422623069e-05,0.0006759909769491944,0.00025989002048262957,-6.562383990688843e-05,1.4415769817520814e-18,1.4303239616245168e-18,2.6229682618588706e-23,1.4415769817520814e-18,False,1.6004098318918222e-17,False,20.0,1.5005166839045836e-13,1.197750074121741,False,False,ok
fine_028,fine_threshold,diffusion_ratio,0.85,100.0,0.55,70.0,36,36,0.025,20260631,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",1.2188498757491417e-05,1.1924026042343837e-05,6.0329828071908635e-05,1.2188498757491417e-05,-8.24502091063434e-06,5.406919889858143e-05,1.1924026042343837e-05,-7.353525048048492e-06,1.6412603794584895e-18,1.6403827950249392e-18,9.721620145962997e-26,1.6412603794584895e-18,False,1.8273280344376618e-17,False,20.0,1.5698811125095616e-13,1.1974451016421723,False,False,ok
fine_029,fine_threshold,diffusion_ratio,0.85,100.0,0.6,70.0,36,36,0.025,20260631,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",4.927857372793722e-07,4.748960654582724e-07,4.5797258798692844e-06,4.927857372793722e-07,-7.756866070588461e-07,3.947223757686691e-06,4.748960654582724e-07,-6.630540968784262e-07,1.7963233644122207e-18,1.7961167856587542e-18,2.2098460672747365e-28,1.7963233644122207e-18,False,2.0027160536770427e-17,False,14.142135623730947,1.6471809701135822e-13,1.1974305002381997,False,False,ok
fine_030,fine_threshold,diffusion_ratio,0.85,250.0,0.5,70.0,36,36,0.012930612244897957,20260631,0.0001,True,0.2849989071874817,False,False,"ODE extinct, PDE extinct",0.00026282435528816807,0.00026113518059209636,0.0007271218190787121,0.00026282435528816807,-7.07427422623069e-05,0.0007194674948727351,0.00026113518059209636,-6.990013435926748e-05,1.426174056090234e-18,1.4250818405572507e-18,1.9647279328020306e-25,1.426174056090234e-18,False,1.8365283228756905e-17,False,20.0,1.4094795223671569e-13,1.1977516085504682,False,False,ok
fine_031,fine_threshold,diffusion_ratio,0.85,250.0,0.55,70.0,36,36,0.012930612244897957,20260631,0.0001,True,0.2849989071874817,False,False,"ODE extinct, PDE extinct",1.2188498757491417e-05,1.2039525527850256e-05,6.0329828071908635e-05,1.2188498757491417e-05,-8.24502091063434e-06,5.978558135261502e-05,1.2039525527850256e-05,-8.123169358898635e-06,1.6392588254742462e-18,1.6390358264217231e-18,7.1641679191907265e-28,1.6392588254742462e-18,False,2.1137185591689743e-17,False,20.0,1.5387324492313437e-13,1.1974452492053342,False,False,ok
fine_032,fine_threshold,diffusion_ratio,0.85,250.0,0.6,70.0,36,36,0.012930612244897957,20260631,0.0001,True,0.2849989071874817,False,False,"ODE extinct, PDE extinct",4.927857372793722e-07,4.827890766573635e-07,4.5797258798692844e-06,4.927857372793722e-07,-7.756866070588461e-07,4.555140594999544e-06,4.827890766573635e-07,-7.629056352980063e-07,1.7981073256669537e-18,1.797933188627658e-18,1.6126851062430045e-30,1.7981073256669537e-18,False,2.321895427442402e-17,False,14.142135623730947,1.639998043438167e-13,1.197430510725615,False,False,ok
