run_id,scan,axis,mu,D_w_over_D_u,stress,T,n_x,n_y,dt,seed,time,mean_w,var_u,var_v,var_w,pattern_strength,dominant_wavelength,dominant_power,min_z
long_025,longtime,baseline_longtime,0.85,100.0,0.0,120.0,64,64,0.01,20260610,109.0,1.060085881242627,0.07161373807286052,0.13236115195192094,0.0007044230745057445,0.13236115195192094,2.1081851067789192,32408.636773340386,3.5977709663850943
long_025,longtime,baseline_longtime,0.85,100.0,0.0,120.0,64,64,0.01,20260610,110.0,1.0601210401237708,0.07166018301513742,0.13238727994675165,0.0007045714068262578,0.13238727994675165,2.1081851067789192,32515.751310052132,3.596935597014436
long_025,longtime,baseline_longtime,0.85,100.0,0.0,120.0,64,64,0.01,20260610,111.0,1.060155439109937,0.07170245154602621,0.13241257904261083,0.0007046633332723482,0.13241257904261083,2.1081851067789192,32621.50871121621,3.596050291388765
long_025,longtime,baseline_longtime,0.85,100.0,0.0,120.0,64,64,0.01,20260610,112.0,1.0601891592697068,0.07174106772689087,0.13243732282125872,0.000704693761809762,0.13243732282125872,2.1081851067789192,32726.15984182259,3.5951313961316647
long_025,longtime,baseline_longtime,0.85,100.0,0.0,120.0,64,64,0.01,20260610,113.0,1.0602220542182992,0.07177662477636344,0.13246196481702172,0.0007046653922993609,0.13246196481702172,2.1081851067789192,32830.02358314057,3.59419656207291
long_025,longtime,baseline_longtime,0.85,100.0,0.0,120.0,64,64,0.01,20260610,114.0,1.0602537568663135,0.07180979713965643,0.13248714933477085,0.0007045876838139694,0.13248714933477085,2.1081851067789192,32933.50263818321,3.5932639013658063
long_025,longtime,baseline_longtime,0.85,100.0,0.0,120.0,64,64,0.01,20260610,115.0,1.0602837766863868,0.07184132145738711,0.13251365683038363,0.0007044739397050863,0.13251365683038363,2.1081851067789192,33037.073567902604,3.5923509806960365
long_025,longtime,baseline_longtime,0.85,100.0,0.0,120.0,64,64,0.01,20260610,116.0,1.0603116447750476,0.07187194432756343,0.13254229115229177,0.0007043379663147868,0.13254229115229177,2.1081851067789192,33141.25243190473,3.591473722726878
long_025,longtime,baseline_longtime,0.85,100.0,0.0,120.0,64,64,0.01,20260610,117.0,1.0603370529039895,0.07190234771103471,0.1325737371552139,0.0007041915692806223,0.1325737371552139,2.1081851067789192,33246.54256906001,3.5906453220557464
long_025,longtime,baseline_longtime,0.85,100.0,0.0,120.0,64,64,0.01,20260610,118.0,1.0603599467521814,0.07193307054605247,0.1326084240026899,0.0007040433580052289,0.1326084240026899,2.1081851067789192,33353.374620606024,3.589875316384017
long_025,longtime,baseline_longtime,0.85,100.0,0.0,120.0,64,64,0.01,20260610,119.0,1.060380557154153,0.07196444492852466,0.13264642288759326,0.0007038986282882505,0.13264642288759326,2.1081851067789192,33462.049560665364,3.589168967096339
long_025,longtime,baseline_longtime,0.85,100.0,0.0,120.0,64,64,0.01,20260610,120.0,1.0603993727655792,0.07199655902021238,0.1326873949213923,0.0007037598237446579,0.1326873949213923,2.1081851067789192,33572.6934417364,3.588527078665436
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,0.0,0.9924801784963114,2.3230661475453544e-12,2.1447780328523148e-11,9.794173478525505e-11,9.794173478525505e-11,2.773500981126145,6.83418638590803e-08,5.053258875408537
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,1.0,0.6861724134131872,4.400776831696319e-12,3.934373362374682e-11,4.098919305320493e-14,3.934373362374682e-11,2.773500981126145,3.2370643864052835e-07,4.867628582550008
