shape_label,stress,baseline_state,perturbation_type,seed,T,time,var_n,var_w,var_q,cv_n,cv_w,cv_q
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2080.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2120.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2160.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2200.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2240.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2280.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2320.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2360.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2400.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2440.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2480.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2520.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2560.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2600.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2640.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2680.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2720.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2760.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2800.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2840.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2880.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2920.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2960.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,3000.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,3040.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,3080.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,3120.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,3160.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
