case_label,stress,baseline_state,perturbation_type,seed,amplitude,q_amplitude,initial_mean_n,initial_mean_w,initial_mean_q,final_mean_n,final_mean_w,final_mean_q,classification,basin_label,tail_mean_w,tail_mean_q,relative_change_between_last_windows,normalized_residual,initial_cv_n,initial_cv_w,initial_cv_q,final_cv_n,final_cv_w,final_cv_q,max_cv_n,max_cv_w,max_cv_q,spatial_pattern_persisted,basin_changed_relative_to_homogeneous_control,physical,notes
basin_boundary_state_random_heterogeneity_s0.158438_seed20260702,0.1584375,basin_boundary_state,random_heterogeneity,20260702,0.1,0.1,4.8333333333389445,0.06416666666634453,0.009712045079376466,4.833333345832031,0.6416666602333416,0.21415079183653446,persistent_steady,persistent_basin,0.6416662625288002,0.2141507988753892,0.00042443649370703694,9.804048023208594e-11,0.028230314444889857,0.029006267749082725,1.530169612816158,3.2749817828243895e-09,1.273739235463727e-08,3.229418885979843e-09,0.04674387905494507,0.12265996171872398,1.530169612816158,False,False,True,large_initial_or_transient_cv_decayed
basin_boundary_state_random_heterogeneity_s0.158438_seed20260703,0.1584375,basin_boundary_state,random_heterogeneity,20260703,0.1,0.1,4.833333333338944,0.06416666666634453,0.012351168773510484,4.833333339468534,0.6416666635234749,0.2141507914689118,persistent_steady,persistent_basin,0.6416664650668389,0.2141507759818924,0.0003601864758660608,8.018313475654153e-11,0.03150960911033005,0.03209766408093053,1.5050441065464293,1.380858179140655e-09,5.35766873911258e-09,7.141704717162671e-10,0.062210566157310666,0.16095133954042787,1.5050441065464293,False,False,True,large_initial_or_transient_cv_decayed
basin_boundary_state_basin_boundary_heterogeneity_s0.158438_seed20260702,0.1584375,basin_boundary_state,basin_boundary_heterogeneity,20260702,0.25,0.25,4.8333333333389445,0.06416666666634453,0.024280112698441166,4.833333331656393,0.6416666675395337,0.2141507915144552,persistent_steady,persistent_basin,0.6416667188899181,0.21415077799049057,4.2422301919948184e-05,2.2263141522992235e-11,0.07057578611222463,0.0725156693727068,1.5301696128161577,2.8014039518942465e-10,1.0796784585324942e-09,6.7878108710222e-10,0.09379749359245564,0.2727548159655369,1.5301696128161577,False,False,True,large_initial_or_transient_cv_decayed
basin_boundary_state_basin_boundary_heterogeneity_s0.158438_seed20260703,0.1584375,basin_boundary_state,basin_boundary_heterogeneity,20260703,0.25,0.25,4.8333333333389445,0.06416666666634453,0.030877921933776215,4.833333330473238,0.6416666681471308,0.2141507915351027,persistent_steady,persistent_basin,0.6416667570682812,0.2141507791803004,-1.1618183740579515e-05,5.9755717554391556e-12,0.07877402277582511,0.08024416020232633,1.5050441065464288,1.8801241068280693e-10,7.354253011960595e-10,5.179389796505697e-10,0.1285360065757844,0.35266080752627277,1.5050441065464288,False,False,True,large_initial_or_transient_cv_decayed
compensation_branch_state_homogeneous_control_s0.164868_seed20260702,0.16486816,compensation_branch_state,homogeneous_control,20260702,0.0,0.0,4.833333333333334,0.6416666666666664,0.19554266055783312,4.833333333333334,0.6416666666666664,0.19554266055783312,persistent_steady,persistent_basin,0.6416666666666665,0.19554266055783318,0.0,3.304091691314096e-16,0.0,3.460435401429061e-16,1.4194128041650536e-16,0.0,3.460435401429061e-16,1.4194128041650536e-16,0.0,3.460435401429061e-16,1.4194128041650536e-16,False,False,True,spatial_cv_small
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,0.5,0.0,4.833333333333334,0.6612001718857323,0.19554266055783312,4.833333333335177,0.641666666665722,0.19554266055781733,persistent_steady,persistent_basin,0.6416666666323292,0.19554266055687344,2.8558269121383934e-08,1.5361483125458395e-14,0.0,0.07933902518392213,1.4194128041650536e-16,2.486765269474074e-13,9.619349727657714e-13,8.629212158687702e-14,0.014733173034408948,0.07933902518392213,0.009429940269599897,False,False,True,large_initial_or_transient_cv_decayed
compensation_branch_state_local_defense_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_defense_patch,20260702,0.0,0.2,4.833333333333334,0.6416666666666664,0.207719391084004,4.833333333393007,0.641666666636041,0.1955426605582004,persistent_steady,persistent_basin,0.6416666655236218,0.19554266056350136,7.789528428173338e-07,4.101995673792132e-13,0.0,3.460435401429061e-16,0.15743210026173066,1.0041631869459776e-11,3.891342433305955e-11,8.403334104414411e-12,0.046009812118956876,0.1992369646414208,0.15743210026173066,False,False,True,large_initial_or_transient_cv_decayed
compensation_branch_state_sinusoidal_mode_s0.164868_seed20260702,0.16486816,compensation_branch_state,sinusoidal_mode,20260702,0.1,0.1,5.023068628346127,0.6164776706046233,0.23479823883634204,4.833333333506197,0.6416666665779016,0.19554266055993685,persistent_steady,persistent_basin,0.6416666633290189,0.19554266061536477,2.0869082847974157e-06,9.826939799656117e-13,0.028568344914455746,0.030902923965286728,0.12644818786407874,2.121807283349323e-11,8.237644342648288e-11,2.864359205717038e-11,0.0533474622416313,0.30300176424439595,0.12644818786407874,False,False,True,large_initial_or_transient_cv_decayed
compensation_branch_state_random_heterogeneity_s0.164868_seed20260702,0.16486816,compensation_branch_state,random_heterogeneity,20260702,0.1,0.1,4.833333333333334,0.6416666666666666,0.19554266055783315,4.833333333328366,0.6416666666692321,0.1955426605574498,persistent_steady,persistent_basin,0.6416666667719101,0.19554266054298797,-6.914830217872366e-09,3.79886474272544e-14,0.028230314444889854,0.029006267749082725,0.12474360447200455,3.767337562696486e-13,1.4384822788271172e-12,1.5021830961025307e-12,0.028230314444889854,0.10481825738246071,0.12474360447200455,False,False,True,large_initial_or_transient_cv_decayed
compensation_branch_state_random_heterogeneity_s0.164868_seed20260703,0.16486816,compensation_branch_state,random_heterogeneity,20260703,0.1,0.1,4.833333333333334,0.6416666666666666,0.19554266055783315,4.8333333333253465,0.6416666666707918,0.19554266055722566,persistent_steady,persistent_basin,0.6416666668356132,0.19554266053423863,-1.1544646660657927e-08,5.504211763891763e-14,0.03150960911033005,0.03209766408093053,0.1568562800944306,5.370585213666044e-13,2.059453456838577e-12,2.45769337318552e-12,0.03438977445751369,0.13368804897821845,0.1568562800944306,False,False,True,large_initial_or_transient_cv_decayed
basin_boundary_state_homogeneous_control_s0.164868_seed20260702,0.16486816,basin_boundary_state,homogeneous_control,20260702,0.0,0.0,4.833333333338944,0.06416666666634453,0.0,3.5583209829646587,1.2791728418510044,0.0,persistent_steady,persistent_basin,1.2791728418510042,0.0,0.0,3.5072491721265945e-16,1.8376105235153676e-16,0.0,0.0,2.4960604283656514e-16,1.735845209187881e-16,0.0,4.992120855614967e-16,4.766487454916245e-16,0.0,False,False,True,spatial_cv_small
basin_boundary_state_local_predator_patch_s0.164868_seed20260702,0.16486816,basin_boundary_state,local_predator_patch,20260702,0.5,0.0,4.833333333338944,0.0661200171882413,0.0,3.5583209829646587,1.2791728418510044,0.0,persistent_steady,persistent_basin,1.2791728418510042,0.0,0.0,3.5072491721265945e-16,1.8376105235153676e-16,0.07933902518392213,0.0,2.4960604283656514e-16,1.735845209187881e-16,0.0,0.05705282907956368,0.2632450278615724,0.0,False,False,True,large_initial_or_transient_cv_decayed
basin_boundary_state_local_defense_patch_s0.164868_seed20260702,0.16486816,basin_boundary_state,local_defense_patch,20260702,0.0,0.2,4.833333333338944,0.06416666666634453,0.012176730526170843,4.833336487769685,0.6416650449025806,0.19554274170460947,declining_transient,transient_basin,0.6416034050517219,0.19554563021888471,-0.05750923639505579,1.9297168716986336e-08,1.8376105235153676e-16,0.0,2.685589529402692,1.002768183424074e-06,3.890652275358311e-06,1.1931191631944036e-06,0.14005046604203542,0.2798946683037406,2.685589529402692,False,True,True,large_initial_or_transient_cv_decayed;transient_classification
basin_boundary_state_sinusoidal_mode_s0.164868_seed20260702,0.16486816,basin_boundary_state,sinusoidal_mode,20260702,0.1,0.1,5.023068628351957,0.061647767060152854,0.03925557827850891,4.833333325720101,0.6416666706082995,0.19554265976494456,persistent_steady,persistent_basin,0.6416668323747616,0.1955426293596169,2.6456207152067834e-05,5.2571464519902665e-11,0.028568344914455743,0.03090292396528673,0.7563208368474543,1.0514710116449622e-09,4.054849059868606e-09,9.617770990308136e-10,0.18351097445289014,0.5788683351356906,0.7563208368474543,False,False,True,large_initial_or_transient_cv_decayed
basin_boundary_state_random_heterogeneity_s0.164868_seed20260702,0.16486816,basin_boundary_state,random_heterogeneity,20260702,0.1,0.1,4.8333333333389445,0.06416666666634453,0.009712045079376466,4.833333410261967,0.6416666270897142,0.19554266310723847,persistent_steady,persistent_basin,0.6416651285507149,0.1955427522066006,0.0006516795915243275,2.9064195645815157e-10,0.028230314444889857,0.029006267749082725,1.530169612816158,1.3132765766815301e-08,5.105874073893348e-08,2.307899862327981e-08,0.05299813179734734,0.14936571619988392,1.530169612816158,False,False,True,large_initial_or_transient_cv_decayed
basin_boundary_state_random_heterogeneity_s0.164868_seed20260703,0.16486816,basin_boundary_state,random_heterogeneity,20260703,0.1,0.1,4.833333333338944,0.06416666666634453,0.012351168773510484,4.833333391832522,0.6416666366316441,0.19554266117984725,persistent_steady,persistent_basin,0.6416655351594894,0.19554267671941505,0.0007122888608268354,3.603361940140156e-10,0.03150960911033005,0.03209766408093053,1.5050441065464293,8.320140931189657e-09,3.225672051978414e-08,8.24946452873023e-09,0.07080272694305981,0.20122723181700142,1.5050441065464293,False,False,True,large_initial_or_transient_cv_decayed
basin_boundary_state_basin_boundary_heterogeneity_s0.164868_seed20260702,0.16486816,basin_boundary_state,basin_boundary_heterogeneity,20260702,0.25,0.25,4.8333333333389445,0.06416666666634453,0.024280112698441166,4.833333334287019,0.6416666662194861,0.19554265964619158,persistent_steady,persistent_basin,0.6416666737543126,0.19554262321213178,0.0001620168503390599,1.5026699247437643e-10,0.07057578611222463,0.0725156693727068,1.5301696128161577,3.429034446136358e-09,1.3244715318381861e-08,1.448759513198169e-09,0.10619977670679419,0.3363547991948897,1.5301696128161577,False,False,True,large_initial_or_transient_cv_decayed
basin_boundary_state_basin_boundary_heterogeneity_s0.164868_seed20260703,0.16486816,basin_boundary_state,basin_boundary_heterogeneity,20260703,0.25,0.25,4.8333333333389445,0.06416666666634453,0.030877921933776215,4.83333332497576,0.6416666710035822,0.19554265947228644,persistent_steady,persistent_basin,0.6416668551188829,0.19554261773945963,6.104711866537734e-05,6.879447054563821e-11,0.07877402277582511,0.08024416020232633,1.5050441065464288,7.487510110370173e-10,2.8846302642548613e-09,2.1820394224896874e-09,0.14372732375982647,0.4177788475640979,1.5050441065464288,False,False,True,large_initial_or_transient_cv_decayed
