case_label,stress,time,n,w,q,z,r_q,a_q,b_q,selection_gradient,predator_growth_factor,classification
persistent_case,0.1584375,1185.0,4.833333146357656,0.6416667625158666,0.2141507986654268,1.191666757793144,0.9250472204671006,0.8608019808674726,0.06715095208007439,3.040771295870215e-08,-6.949997216620929e-09,persistent_steady
persistent_case,0.1584375,1190.0,4.833333187425596,0.6416667413383054,0.21415079983442836,1.1916667379027661,0.9250472200579501,0.8608019801076217,0.0671509520099343,2.360393042133424e-08,-6.287831144646816e-09,persistent_steady
persistent_case,0.1584375,1195.0,4.833333224431463,0.6416667222627458,0.21415080073043125,1.1916667199724578,0.9250472197443491,0.8608019795252196,0.06715095195617413,1.748042460780752e-08,-5.640609174184519e-09,persistent_steady
persistent_case,0.1584375,1200.0,4.833333257501973,0.6416667052230516,0.21415080137410308,1.1916667039416422,0.9250472195190639,0.860801979106833,0.06715095191755381,1.2015408834553654e-08,-5.011767473250828e-09,persistent_steady
persistent_case,0.1584375,1205.0,4.8333332868035175,0.6416666901321065,0.21415080179845714,1.191666689731043,0.92504721937054,0.8608019788310028,0.06715095189209258,7.180004202300694e-09,-4.407706727382887e-09,persistent_steady
persistent_case,0.1584375,1210.0,4.833333312541876,0.6416666768808538,0.21415080207281376,1.1916666772439375,0.9250472192745152,0.860801978652671,0.06715095187563117,2.9371768905939177e-09,-3.845497531518305e-09,persistent_steady
persistent_case,0.1584375,1215.0,4.833333334906471,0.6416666653723083,0.2141508021875022,1.1916666663878877,0.9250472192343742,0.8608019785781235,0.06715095186874986,-7.437602200788263e-10,-3.3172446178841852e-09,persistent_steady
persistent_case,0.1584375,1220.0,4.83333335410254,0.6416666555001231,0.21415080215934665,1.191666657064004,0.9250472192442286,0.8608019785964246,0.0671509518704392,-3.897321354529026e-09,-2.8231653403931745e-09,persistent_steady
persistent_case,0.1584375,1225.0,4.833333370328751,0.6416666471615639,0.21415080200014952,1.191666649176352,0.9250472192999477,0.8608019786999028,0.06715095187999102,-6.556706622085073e-09,-2.3620305433791344e-09,persistent_steady
persistent_case,0.1584375,1230.0,4.833333383767083,0.6416666402627473,0.21415080171596163,1.191666642636837,0.9250472193994134,0.8608019788846248,0.0671509518970423,-8.752107150122868e-09,-1.9311846843894642e-09,persistent_steady
