D_n,D_w,D_q,D_w_over_D_n,D_q_over_D_n,stress,q_star,zero_mode_growth,max_nonzero_mode_growth,most_unstable_m,most_unstable_n,most_unstable_lambda,positive_modes_count,near_zero_modes_count,nonzero_modes_stable,stability_class
0.01,0.001,0.005,0.1,0.5,0.16486816,0.19554266055783315,-0.01465247062034078,-0.014733701256959221,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.001,0.005,0.1,0.5,0.175,0.16622458001768367,-0.012681581449417077,-0.012762934178187899,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.001,0.01,0.1,1.0,0.11765625,0.3321577847439918,-0.023581704072263975,-0.023724022311631215,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.001,0.01,0.1,1.0,0.1584375,0.21415079173699889,-0.015893894916853914,-0.016036735350299647,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.001,0.01,0.1,1.0,0.16486816,0.19554266055783315,-0.01465247062034078,-0.014795389548906905,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.001,0.01,0.1,1.0,0.175,0.16622458001768367,-0.012681581449417077,-0.012824622024759341,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.001,0.02,0.1,2.0,0.11765625,0.3321577847439918,-0.023581704072263975,-0.02384740249494484,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.001,0.02,0.1,2.0,0.1584375,0.21415079173699889,-0.015893894916853914,-0.016160112480596588,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.001,0.02,0.1,2.0,0.16486816,0.19554266055783315,-0.01465247062034078,-0.01491876613330436,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.001,0.02,0.1,2.0,0.175,0.16622458001768367,-0.012681581449417077,-0.012947997718330589,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.003,0.0005,0.3,0.05,0.11765625,0.3321577847439918,-0.023581704072263975,-0.017767553922241965,8,21,12.460375556375315,0,0,True,linearly_spatially_stable
0.01,0.003,0.0005,0.3,0.05,0.1584375,0.21415079173699889,-0.015893894916853914,-0.015942615948155915,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.003,0.0005,0.3,0.05,0.16486816,0.19554266055783315,-0.01465247062034078,-0.014701253222053777,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.003,0.0005,0.3,0.05,0.175,0.16622458001768367,-0.012681581449417077,-0.012730459511625833,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.003,0.001,0.3,0.1,0.11765625,0.3321577847439918,-0.023581704072263975,-0.0236361850607771,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
