model,restart,rank,objective_value,failure_reason,continuous_turing_candidate,discrete_turing_candidate,r_U,r_D,defense_cost,a_U,a_D,vulnerability_contrast,K,e,m,mu_UD,mu_DU,delta_U,delta_D,delta_P,delta_D_over_delta_U,delta_P_over_delta_U,h,L,n_x,q_star,N_star,U_star,D_star,P_star,equilibrium_residual,ode_max_real,continuous_max_spatial_growth,best_k,continuous_unstable_windows,discrete_max_spatial_growth,dominant_discrete_mode,dominant_discrete_k
holling2,0,6,9.45526304503938e-07,no_spatial_instability,False,False,0.7545060453520657,0.7206751935327627,0.03383085181930301,0.18621543028883772,0.043207810747836806,0.1430076195410009,1.0,1.5848030034208624,0.10388297238148346,1.161403990112513e-05,1.390159844896815e-05,0.2459168944280894,75716.0267020343,3.6333925220267374e-06,307892.7410746684,1.4774879661995765e-05,6.464284130312271,20.0,50,0.4932655736320834,0.999994107254524,0.4932626669436059,0.506731440310918,6.628683123974154e-05,5.949942268329687e-17,-1.2591583609842644e-05,-9.45526304503938e-07,0.083781589958159,,-9.988528123428269e-07,1,0.15707963267948966
holling2,0,7,1.6776364842901347e-06,no_spatial_instability,False,False,1.915251153215787,1.907775607015627,0.007475546200159888,2.1093967062571375,0.012000217649449656,2.097396488607688,1.0,1.8761827158632909,1.3256611533174363,1.155473992485573e-06,1.8539774812379846e-06,1.888965936610731e-05,4.582148488622989e-08,1.1583145942572948e-08,0.0024257443714652102,0.0006132003610057659,0.38162224290174757,20.0,50,0.4555351065043418,0.999999529087325,0.45553489198708624,0.5444646371002387,1.2737511554844678e-06,1.5026787472865097e-16,-1.677636432775295e-06,-1.6776364842901347e-06,0.0001,,-1.804694402698208e-06,1,0.15707963267948966
holling2,0,8,1.7241156608738663e-06,no_spatial_instability,False,False,1.8314612695157273,1.830288943881726,0.00117232563400127,0.016610400688164762,0.010184689721817996,0.006425710966346766,1.0,0.11247739285820857,0.0010511528248300865,5.26991550567991e-06,1.408456592366612e-06,9.301289314552478e-06,2.975812138709761e-06,3.89016826653011e-08,0.3199354452993852,0.004182396800026085,8.781852360117206,20.0,50,0.0011325967348414438,0.9989258126549054,0.0011313801137617817,0.9977944325411436,0.21015155993800627,9.192831380009971e-16,-1.7241156605362064e-06,-1.7241156608738663e-06,0.0001,,-1.7249488662201824e-06,1,0.15707963267948966
holling2,1,1,1.5621015576326342e-06,no_spatial_instability,False,False,3.1897625561186054,1.8608148427318258,1.3289477133867795,0.23462704289129113,0.014744496257281576,0.21988254663400955,1.0,0.9845506590102486,0.09473766961498947,1.5261005832187962e-06,1.4008866494391419e-06,2.346880304742388e-06,3.002881669379777e-09,6.930750206671743e-11,0.0012795205888054002,2.95317583630773e-05,0.05939667166078442,20.0,50,0.3730761244722289,0.9999996719083136,0.37307600206905406,0.6269236698392595,8.035239299003964e-06,4.644720828663226e-15,-1.5621015517441693e-06,-1.5621015576326342e-06,0.0001,,-1.5764538811369402e-06,1,0.15707963267948966
holling2,1,2,1.7123326652964225e-06,no_spatial_instability,False,False,1.3579817036143065,1.355542104434682,0.002439599179624441,0.6174630747325065,0.11167340697281641,0.50578966775969,1.0,1.166494869052322,0.3487706948805252,1.2361986728569597e-06,1.4453239461234292e-06,0.0005589384721342153,2.8628419636688748e-05,4.1040207517847876e-05,0.05121926842390326,0.07342526872616684,0.028857406513634856,20.0,50,0.3754907563340952,0.9999991772278043,0.3754904473907411,0.6245087298370631,3.732746488516265e-06,1.4967400860862848e-16,-1.7123306621595888e-06,-1.7123326652964225e-06,0.0001,,-6.6548703892035594e-06,1,0.15707963267948966
holling2,1,3,1.7249055382031818e-06,no_spatial_instability,False,False,1.8849226332366507,1.882965110992659,0.001957522243991594,0.06252793961559851,0.028108133774497033,0.03441980584110148,1.0,1.4328050320976415,0.0503915445175984,2.2269916644115727e-06,1.738245006098135e-06,0.5255541823945785,5.1841562149285485,1.679238944648757e-05,9.86417079074134,3.195177587585077e-05,0.4096790373003494,20.0,50,0.22010488901955394,0.9999972216779307,0.22010427749728323,0.7798929441806475,0.0001487827040265738,8.28929271783094e-18,-3.4563482113627274e-06,-1.7249055382031818e-06,0.16746317991631798,,-1.7993325743642935e-06,1,0.15707963267948966
holling2,1,4,2.0146886438121453e-06,no_spatial_instability,False,False,1.7283291118652482,1.722220405221685,0.006108706643563222,0.8274897172351992,0.0102369098053591,0.8172528074298401,1.0,0.927920576240934,0.19786881289120328,2.3171743541047936e-06,1.0712516347592963e-06,6.866923891830779e-05,6.633112108097787e-08,1.6213952345026182e-08,0.000965951015707172,0.0002361166746629459,0.01462903097786947,20.0,50,0.24921218698201442,0.9999998157607555,0.24921214106734935,0.7507876746934061,1.489319851790987e-06,1.587412460261363e-15,-2.014688386010282e-06,-2.0146886438121453e-06,0.0001,,-2.6505779081195176e-06,1,0.15707963267948966
holling2,1,5,2.0693142513370306e-06,no_spatial_instability,False,False,4.694441128422827,1.878416347548817,2.8160247808740104,1.1486417727101068,0.13019722537120446,1.0184445473389023,1.0,1.9678635355198495,1.096145758332864,1.5893552524240275e-06,1.7968107502458167e-06,2.0099642404895322e-06,2.4488043224079528e-05,6.938413452311964e-09,12.183322832706416,0.0034520084051953555,0.0038863295117914035,20.0,50,0.4202828613425817,0.9999994463840269,0.42028262866727645,0.5797168177167504,3.0432118515564937e-06,8.149813875316669e-15,-2.069314168692201e-06,-2.0693142513370306e-06,0.0001,,-2.2728855417308703e-06,1,0.15707963267948966
holling2,1,6,2.070586102068829e-06,no_spatial_instability,False,False,1.960912130954848,1.744069473996614,0.21684265695823401,7.452867949871169,0.2033331552925205,7.249534794578648,1.0,1.0094600109425618,2.6624061584613337,1.7538641707359218e-06,1.3049830106726528e-06,0.00037550358537108663,5.709777783773401e-06,0.0925676220211537,0.015205654502954441,246.51594719042413,0.0022466894840100496,20.0,50,0.3379313168142804,0.9999997446520866,0.3379312305242238,0.6620685141278629,1.759482558912302e-07,2.462358184116193e-15,-2.0701220604092354e-06,-2.070586102068829e-06,0.0001,,-0.00015233146508171808,4,0.6283185307179586
holling2,1,7,2.254751994256564e-06,no_spatial_instability,False,False,5.694009576812274,1.5904573274675453,4.1035522493447285,3.18926340406089,0.1506661466455308,3.0385972574153595,1.0,0.42019366496089705,0.366656378397589,1.6759303616810988e-06,1.4725734513115362e-06,0.00013083258207977525,2.626914954343366,0.007994611087307953,20078.446152974364,61.105658546379786,0.0276585986830363,20.0,50,0.24468659172484333,0.9999991939095372,0.24468639448531537,0.7553127994242218,2.396813915357667e-06,3.742959690921006e-13,-2.247658551259081e-06,-2.254751994256564e-06,0.0001,,-0.00022362447848791955,1,0.15707963267948966
