case_label,stress,q0,w0_scale,time,mean_n,mean_w,mean_q,var_n,var_w,var_q,min_n,min_w,min_q,max_q,min_z
persistent_case,0.1584375,0.1,0.1,1420.0,4.8333333290961935,0.6416666688694106,0.21415079123363645,5.49679665427561e-29,1.446246397229106e-29,1.8407131867209846e-31,4.833333329096169,0.6416666688694038,0.2141507912336356,0.21415079123363723,1.191666668701056
persistent_case,0.1584375,0.1,0.1,1425.0,4.833333328806769,0.6416666690168231,0.21415079126493136,3.0441826479967966e-29,7.988182639600476e-30,2.075133091348407e-31,4.8333333288067495,0.6416666690168182,0.21415079126493047,0.21415079126493222,1.19166666884307
persistent_case,0.1584375,0.1,0.1,1430.0,4.833333328619167,0.6416666691117896,0.21415079129781228,1.6391782349674203e-29,4.211391888939573e-30,2.347253450795402e-31,4.833333328619151,0.6416666691117862,0.21415079129781137,0.21415079129781325,1.191666668935707
persistent_case,0.1584375,0.1,0.1,1435.0,4.833333328520884,0.641666669160772,0.2141507913316156,7.081259219522989e-30,1.7416274765059917e-30,2.4880908395606414e-31,4.833333328520872,0.6416666691607696,0.21415079133161466,0.21415079133161666,1.1916666689850084
persistent_case,0.1584375,0.1,0.1,1440.0,4.833333328500084,0.6416666691698847,0.21415079136576293,3.1348361704791038e-30,7.986018977678579e-31,2.503449378550745e-31,4.833333328500077,0.6416666691698829,0.21415079136576196,0.21415079136576398,1.1916666689966964
persistent_case,0.1584375,0.1,0.1,1445.0,4.833333328545656,0.6416666691448663,0.2141507913997564,1.8475445956506754e-30,4.796558619151792e-31,2.504782859342318e-31,4.833333328545653,0.6416666691448646,0.21415079139975543,0.21415079139975746,1.1916666689761426
persistent_case,0.1584375,0.1,0.1,1450.0,4.833333328647253,0.6416666690910588,0.21415079143317317,2.372360505496197e-30,6.184642533913511e-31,2.4490700694862254e-31,4.8333333286472495,0.641666669091057,0.21415079143317223,0.21415079143317425,1.1916666689283537
persistent_case,0.1584375,0.1,0.1,1455.0,4.833333328795309,0.6416666690133974,0.21415079146566038,3.999386122514534e-30,1.1446523883222488e-30,2.390897205052732e-31,4.833333328795304,0.6416666690133952,0.21415079146565946,0.21415079146566146,1.1916666688579582
persistent_case,0.1584375,0.1,0.1,1460.0,4.8333333289810625,0.6416666689164037,0.21415079149692898,6.798147517698065e-30,1.7409022435113084e-30,2.3899869022274552e-31,4.833333328981056,0.6416666689164013,0.21415079149692806,0.21415079149693006,1.1916666687691992
persistent_case,0.1584375,0.1,0.1,1465.0,4.833333329196536,0.6416666688041895,0.21415079152674837,9.639664557646993e-30,2.4959359948184812e-30,1.9310043184008655e-31,4.83333332919653,0.6416666688041867,0.2141507915267475,0.21415079152674935,1.1916666686659376
persistent_case,0.1584375,0.1,0.1,1470.0,4.833333329434547,0.6416666686804604,0.2141507915549407,1.0502673765726913e-29,2.7339688988825912e-30,1.920050591842163e-31,4.83333332943454,0.6416666686804573,0.2141507915549399,0.21415079155494174,1.1916666685516566
persistent_case,0.1584375,0.1,0.1,1475.0,4.83333332968866,0.6416666685485297,0.21415079158137595,1.2523937242361317e-29,3.273776969638952e-30,1.889764214992097e-31,4.833333329688653,0.6416666685485264,0.21415079158137515,0.21415079158137698,1.191666668429474
persistent_case,0.1584375,0.1,0.1,1480.0,4.833333329953184,0.6416666684113301,0.21415079160596592,1.5013972067459575e-29,4.0133491146113414e-30,1.7084879397676098e-31,4.833333329953176,0.641666668411326,0.21415079160596515,0.2141507916059669,1.1916666683021484
