parameter_set_label,r_v,a_v,b_u,b_v,stress,q0,w0_scale,classification,basin_label,tail_mean_w,tail_mean_q,q_change,selection_gradient_tail_mean,predator_growth_factor_tail_mean,physical,notes
current,0.65,0.35,0.08,0.02,0.1584375,0.7,0.2,recovery_transient,transient_basin,1.0626891236634668,5.182445822154432e-05,-0.6999481755417785,0.12678176932310575,0.008673500641477509,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.7,0.5,recovery_transient,transient_basin,1.1994896810099127,0.00012507359223718856,-0.6998749264077627,0.167807142857774,0.006163722907046496,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.7,1.0,recovery_transient,transient_basin,1.2245664313414018,0.0001529003475952469,-0.6998470996524047,0.1753219060959666,0.0054727098618086055,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.7,1.5,recovery_transient,transient_basin,1.2052849957998393,0.00013779144818581643,-0.6998622085518141,0.16954463737053116,0.006014993331581576,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.8,0.02,recovery_transient,transient_basin,0.00047031482348878237,5.637132117846349e-06,-0.7999943628678822,-0.1923586999194601,0.010789044392094601,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.8,0.05,recovery_transient,transient_basin,0.0011455442812378536,5.653630495963012e-06,-0.7999943463695041,-0.1921552491426748,0.010923465551109929,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.8,0.1,recovery_transient,transient_basin,0.0021925927513755912,5.680278439511016e-06,-0.7999943197215605,-0.19183966509853734,0.011131072316663777,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.8,0.2,recovery_transient,transient_basin,0.003990453682748673,5.730368378376477e-06,-0.7999942696316217,-0.19129747064073357,0.01148496232490153,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.8,0.5,recovery_transient,transient_basin,0.0072532156319495035,5.859362462846041e-06,-0.7999941406375372,-0.19031233112904722,0.012117461693556599,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.8,1.0,recovery_transient,transient_basin,0.008304491417427213,6.024938948882807e-06,-0.7999939750610512,-0.189994557443356,0.012318142763608306,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.8,1.5,recovery_transient,transient_basin,0.007553721340221341,6.151068680075464e-06,-0.79999384893132,-0.1902215319623794,0.01217496488903493,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.9,0.02,extinct_steady,extinct_basin,1.452185719129684e-07,9.945987050344291e-06,-0.8999900540129496,-0.19250062742961327,0.010694708721003306,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.9,0.05,extinct_steady,extinct_basin,3.494176344866955e-07,9.96763227248557e-06,-0.8999900323677276,-0.19250056755407793,0.010694747224902063,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.9,0.1,extinct_steady,extinct_basin,6.301519805346083e-07,1.000265885252791e-05,-0.8999899973411475,-0.1925004849378238,0.010694798716464482,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.9,0.2,extinct_steady,extinct_basin,1.0759061708220204e-06,1.0069866922096137e-05,-0.8999899301330779,-0.1925003546831825,0.010694879312016532,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.9,0.5,extinct_steady,extinct_basin,1.7504222216454887e-06,1.024828281658757e-05,-0.8999897517171834,-0.19250016430163164,0.010694994333994732,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.9,1.0,extinct_steady,extinct_basin,1.9289977426803684e-06,1.048904470484465e-05,-0.8999895109552952,-0.19250012679908182,0.010695002135564784,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.9,1.5,extinct_steady,extinct_basin,1.8054874510462683e-06,1.0680708303353848e-05,-0.8999893192916967,-0.1925001774231958,0.010694955848739744,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.0,0.02,persistent_steady,persistent_basin,1.2791728418511716,0.0,0.0,0.19125185255534324,-3.053318914575593e-14,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.0,0.05,persistent_steady,persistent_basin,1.2791728418510082,0.0,0.0,0.19125185255530255,1.7955458793320434e-16,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.0,0.1,persistent_steady,persistent_basin,1.279172841851262,0.0,0.0,0.19125185255536586,-4.759430161368387e-14,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.0,0.2,persistent_steady,persistent_basin,1.2791728418519832,0.0,0.0,0.1912518525555457,-1.8313608517190252e-13,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.0,0.5,persistent_steady,persistent_basin,1.2791728418512107,0.0,0.0,0.1912518525553531,-3.794358517370149e-14,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.0,1.0,persistent_steady,persistent_basin,1.279172841850998,0.0,0.0,0.1912518525553,2.079954864035401e-15,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.0,1.5,persistent_steady,persistent_basin,1.2791728418510087,0.0,0.0,0.1912518525553027,7.332954545363689e-17,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.1,0.02,declining_transient,transient_basin,0.641048586188844,0.19558349474050032,0.09558349474050032,-0.00019766736924996475,1.4598565857129084e-05,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.1,0.05,persistent_steady,persistent_basin,0.6416644502106548,0.19554272709725365,0.09554272709725364,-7.061411576272627e-07,7.884600913181194e-08,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.1,0.1,persistent_steady,persistent_basin,0.6416667234278572,0.19554266474173104,0.09554266474173104,1.789890864466884e-08,-3.922882891640966e-09,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.1,0.2,persistent_steady,persistent_basin,0.6416666484423817,0.19554266164803716,0.09554266164803715,-5.823293295444309e-09,4.728681479304197e-10,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.1,0.5,persistent_steady,persistent_basin,0.6416666670248643,0.195542660083043,0.09554266008304299,1.2308711937209428e-10,1.4124989518219211e-10,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.1,1.0,persistent_steady,persistent_basin,0.6416666685901066,0.19554266007024573,0.09554266007024573,6.263165802176009e-10,7.051226269538802e-11,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.1,1.5,persistent_steady,persistent_basin,0.6416666683117302,0.195542660288133,0.09554266028813299,5.310396347623243e-10,1.2685530609496604e-11,True,current_parameterization;steady_by_tail_change_and_rhs_residual
